"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UK000003302","1931","53.25","-4.5331","11.0","VALLEY, UK","      0.0","","       0.0","G","","","","","","","         0","G","         6","G","         0","G","         0","G","         0","G","   -1.7","G,0307, ","","","   20.6","G,0804, ","","","","","","","","","","","-1.1","G,0310","","","","","","","","","","","","","","","      9.97","G","     12.15","G","      7.79","G"
"UK000003302","1932","53.25","-4.5331","11.0","VALLEY, UK","      0.0","","       0.0","G","","","","","","","         0","G","         5","G","         0","G","         4","G","         0","G","   -1.1","G,0313,+","","","   22.2","G,0811, ","","","","","","","","","","","-1.1","G,0313","","","","","","","","","    2923.7","7","    2923.7","G","","","     10.31","G","     12.40","G","      8.23","G"
"UK000003302","1933","53.25","-4.5331","11.0","VALLEY, UK","      9.2","","       9.2","G","","","","","","","         0","G","        14","G","         0","G","        17","G","         0","G","   -2.2","G,0125, ","","","   25.0","G,0905, ","-1.1","G,1130","","","","","","","","","-0.6","G,0225","-2.2","G,0125","","","","","","","    2825.1","1","    2825.1","G","","","     10.56","G","     12.89","G","      8.24","G"
"UK000003302","1934","53.25","-4.5331","11.0","VALLEY, UK","      5.8","","       5.8","G","","","","","","","         0","G","         2","G","         0","G","        15","G","         0","G","    0.0","G,0227,+","","","   25.6","G,0914, ","","","","","","","","","","","0.0","G,0227","","","","","","","","","    2834.2","2","    2834.2","G","","","     10.55","G","     12.75","G","      8.35","G"
"UK000003302","1935","53.25","-4.5331","11.0","VALLEY, UK","      0.0","","       0.0","G","","","","","","","         0","G","         4","G","         0","G","         5","G","         0","G","   -1.1","G,1223, ","","","   22.8","G,0629, ","-0.6","G,1214","","","","","","","","","","","","","","","","","","","    2760.8","8","    2760.8","G","","","     10.31","G","     12.46","G","      8.16","G"
"UK000003302","1936","53.25","-4.5331","11.0","VALLEY, UK","      0.3","","       0.3","G","","","","","","","         0","G","         7","G","         0","G","         4","G","         0","G","   -1.1","G,0119, ","","","   22.8","G,0621,+","","","","","","","","","","","-0.6","G,0304","","","","","","","","","    3063.1","1","    3063.1","G","","","     10.03","G","     12.27","G","      7.78","G"
"UK000003302","1937","53.25","-4.5331","11.0","VALLEY, UK","      0.3","","       0.3","G","","","","","","","         0","G","         6","G","         0","G","         3","G","         0","G","   -1.1","G,0310,+","","","   22.8","G,0802, ","","","","","","","","","","","0.0","G,0312","","","","","","","","","    2825.2","2","    2825.2","G","","","     10.13","G","     12.38","G","      7.89","G"
"UK000003302","1938","53.25","-4.5331","11.0","VALLEY, UK","","","","","","","","","","","         0","G","         4","G","         0","G","         0","G","         0","G","   -1.7","G,1220,+","","","   20.6","G,0804,+","-1.7","G,1219","","","","","","","","","","","","","","","","","","","    2893.9","9","    2893.9","G","","","     10.52","G","     12.71","G","      8.33","G"
"UK000003302","1939","53.25","-4.5331","11.0","VALLEY, UK","      0.6","","       0.6","G","","","","","","","         0","G","         5","G","         0","G","         3","G","         0","G","   -2.2","G,0203,+","","","   22.2","G,0830,+","0.0","G,1229","","","","","","","","","-2.2","G,0203","-2.2","G,0203","","","","","","","","","","","","","     10.29","G","     12.52","G","      8.05","G"
"UK000003302","1940","53.25","-4.5331","11.0","VALLEY, UK","      2.8","","       2.8","G","","","","","","","         0","G","        27","G","         0","G","         8","G","         0","G","   -5.6","G,0122,+","","","   25.6","G,0802, ","","","","","","","","","","","0.0","G,0308","-3.3","G,0123","-5.6","G,0122","","","","","    2986.6","6","    2986.6","G","","","      9.81","G","     12.22","G","      7.40","G"
"UK000003302","1941","53.25","-4.5331","11.0","VALLEY, UK","      3.4","","       3.4","G","","","","","","","         0","G","        22","G","         0","G","        11","G","         0","G","   -6.1","G,0106, ","","","   25.6","G,0905, ","0.0","G,1116","","","","","","","","","-1.1","G,0330","-2.2","G,0227","-6.1","G,0106","","","","","    3226.4","4","    3226.4","G","","","      9.58","G","     12.42","G","      6.74","G"
"UK000003302","1942","53.25","-4.5331","11.0","VALLEY, UK","      3.5","","       3.5","G","","","","","","","         0","G","        40","G","         0","G","        10","G","         0","G","   -5.0","G,0208, ","","","   28.3","G,0605, ","-0.6","G,1102","-2.8","G,1122","","","","","","","0.0","G,0503","-2.2","G,0308","-4.4","G,0227","","","","","    2952.6","6","    2952.6","G","","","      9.63","G","     12.94","G","      6.32","G"
"UK000003302","1943","53.25","-4.5331","11.0","VALLEY, UK","      4.4","","       4.4","G","","","","","","","         0","G","        28","G","         0","G","        14","G","         0","G","   -3.9","G,1216,+","","","   29.4","G,0731, ","-1.7","G,1119","-3.9","G,1211","","","","","","","0.0","G,0510","-2.2","G,0312","","","","","","","    2906.3","3","    2906.3","G","","","     10.19","G","     13.43","G","      6.96","G"
