"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UK000003808","1991","50.2167","-5.3167","88.0","CAMBORNE, UK","      6.3","","       6.3","G","","","","","","","","","         0","G","         7","G","         1","G","        12","G","         0","G","   -6.8","G,0208,+","","","","","   24.1","G,0827, ","","","","","","","-0.5","G,0219","-5.8","G,0210","-5.8","G,0210","-6.8","G,0208","","","    2750.8","8","    2750.8","G","","","     10.35","G","     12.78","G","      7.91","G"
"UK000003808","1992","50.2167","-5.3167","88.0","CAMBORNE, UK","      1.6","","       1.6","G","","","","","","","","","         0","G","         9","G","         0","G","         7","G","         0","G","   -1.7","G,0122, ","","","","","   23.4","G,0628, ","","","","","","","0.0","G,0225","","","","","","","","","    2627.9","9","    2627.9","G","","","     10.57","G","     13.13","G","      8.00","G"
"UK000003808","1993","50.2167","-5.3167","88.0","CAMBORNE, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","         9","G","         0","G","         3","G","         0","G","   -1.5","G,1122, ","","","","","   21.6","G,0819, ","-0.3","G,1017","","","","","-1.2","G,0305","","","","","","","","","    2698.8","8","    2698.8","G","","","     10.56","G","     13.06","G","      8.06","G"
"UK000003808","1994","50.2167","-5.3167","88.0","CAMBORNE, UK","      0.1","","       0.1","G","","","","","","","","","         0","G","         3","G","         0","G","         7","G","         0","G","   -3.9","G,0215, ","","","","","   23.3","G,0723, ","","","","","","","-0.8","G,0216","-3.9","G,0215","","","","","","","    2816.2","2","    2816.2","G","","","     11.03","G","     13.65","G","      8.41","G"
"UK000003808","1995","50.2167","-5.3167","88.0","CAMBORNE, UK","     47.7","","      47.7","G","","","","","","","","","         0","G","         8","G","         0","G","        42","G","         0","G","   -3.4","G,1206, ","","","","","   28.0","G,0801, ","-3.4","G,1206","-3.4","G,1206","","","-0.2","G,0308","","","","","","","","","    2620.3","3","    2620.3","G","","","     11.39","G","     14.17","G","      8.60","G"
"UK000003808","1996","50.2167","-5.3167","88.0","CAMBORNE, UK","      0.2","","       0.2","G","       161","I","       102","I","         3","I","","","         0","G","        18","G","         1","G","        11","G","         0","G","   -4.7","G,1229, ","","","  37.0"," ,I,0205, ","   23.9","G,0617, ","-1.4","G,1214","-2.4","G,1224","-4.7","G,1229","-1.6","G,0221","-2.4","G,0201","","","","","","","    2643.3","3","    2643.3","G","    974.0"," ,I","     10.15","G","     12.86","G","      7.43","G"
"UK000003808","1997","50.2167","-5.3167","88.0","CAMBORNE, UK","     11.3","","      11.3","G","       160","I","       108","I","         3","I","","","         0","G","        12","G","         2","G","        24","G","         0","G","   -6.6","G,0102, ","","","  64.0"," ,I,0803, ","   24.3","G,0810, ","-0.1","G,1203","","","","","0.0","G,0420","-3.1","G,0109","-6.5","G,0103","","","","","    2751.0","0","    2751.0","G","   1057.0"," ,I","     11.31","G","     14.02","G","      8.60","G"
"UK000003808","1998","50.2167","-5.3167","88.0","CAMBORNE, UK","      0.5","","       0.5","G","       194","I","       120","I","         4","I","","","         0","G","         6","G","         0","G","         8","G","         0","G","   -2.3","G,1203, ","","","  35.0"," ,I,0302, ","   22.9","G,0619, ","-2.3","G,1203","-2.3","G,1203","","","-1.6","G,0128","","","","","","","","","    2478.7","7","    2478.7","G","   1275.0"," ,I","     11.14","G","     13.62","G","      8.67","G"
"UK000003808","1999","50.2167","-5.3167","88.0","CAMBORNE, UK","      3.7","","       3.7","G","       174","I","       114","I","         1","I","","","         0","G","         3","G","         0","G","        15","G","         0","G","   -1.3","G,0111, ","","","  34.0"," ,I,0115, ","   24.1","G,0905, ","-0.7","G,1220","","","","","-1.3","G,0111","","","","","","","","","    2551.3","3","    2551.3","G","   1043.0"," ,I","     11.39","G","     13.96","G","      8.81","G"
"UK000003808","2000","50.2167","-5.3167","88.0","CAMBORNE, UK","      3.0","","       3.0","G","       199","I","       126","I","         5","I","","","         0","E","         3","G","         0","E","        10","E","         0","E","   -0.9","G,0127, ","","","  50.0"," ,I,0914, ","   23.8","E,0910, ","-0.8","G,1230","","","","","-0.9","G,0127","","","","","","","","","    2555.4","4","    2555.4","E","   1197.0"," ,I","     11.02","G","     13.52","E","      8.53","G"
