"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UK000003377","1959","53.1658","0.5239","68.0","WADDINGTON, UK","     54.7","","      54.7","G","       103","I","        54","I","         0","I","","","         0","G","        53","G","         3","G","        83","G","         0","G","   -6.7","G,0114,+","","","  14.0"," ,I,0303, ","   31.1","G,0705, ","-1.7","G,1106","-5.6","G,1112","-5.6","G,1112","","","","","-2.2","G,0219","-2.2","G,0219","-5.0","G,0126","-6.7","G,0114","","","    3147.5","5","    3147.5","G","    401.0"," ,I","     10.24","G","     14.37","G","      6.10","G"
"UK000003377","1960","53.1658","0.5239","68.0","WADDINGTON, UK","      6.7","","       6.7","G","       156","I","        83","I","         3","I","","","         0","G","        53","G","         2","G","        33","G","         0","G","   -7.8","G,0114, ","","","  33.0"," ,I,0814, ","   27.8","G,0618, ","0.0","G,1017","-3.9","G,1206","","","","","","","0.0","G,0430","-2.2","G,0320","-5.6","G,0218","-7.8","G,0114","","","    2885.4","4","    2885.4","G","    809.0"," ,I","      9.38","G","     12.99","G","      5.77","G"
"UK000003377","1961","53.1658","0.5239","68.0","WADDINGTON, UK","","","","","       141","I","        80","I","         0","I","","","         0","G","        45","G","         3","G","        29","G","         0","G","   -8.5","G,1228, ","","","  20.0"," ,I,1229, ","   29.3","G,0829, ","-2.4","G,1110","-2.4","G,1110","-4.4","G,1208","-7.4","G,1218","","","-1.6","G,0320","-3.2","G,0127","","","","","","","    3124.8","8","    3124.8","G","    556.0"," ,I","      9.58","G","     13.29","G","      5.88","G"
"UK000003377","1962","53.1658","0.5239","68.0","WADDINGTON, UK","      0.0","","       0.0","G","       121","I","        53","I","         1","I","","","         0","G","        72","G","         5","G","        18","G","         0","G","   -7.6","G,1229, ","","","  35.0"," ,I,0806, ","   24.2","G,0608, ","-0.8","G,1027","-2.4","G,1116","-5.5","G,1202","-6.9","G,1203","","","-0.8","G,0414","-2.4","G,0324","-4.7","G,0317","-7.4","G,0307","","","","","","","    501.0"," ,I","      8.19","G","     11.83","G","      4.55","G"
"UK000003377","1963","53.1658","0.5239","68.0","WADDINGTON, UK","      1.6","","       1.6","G","       135","I","        62","I","         1","I","","","         0","G","        75","G","        21","G","        19","G","         0","G","  -11.0","G,0205, ","","","  39.0"," ,I,0706, ","   26.6","G,0612, ","-0.9","G,1211","-3.0","G,1219","-4.9","G,1223","-9.1","G,1224","-9.1","G,1224","-1.0","G,0401","-3.3","G,0304","-4.8","G,0303","-8.2","G,0226","-9.0","G,0225","    3835.9","9","    3835.9","G","    542.0"," ,I","      8.06","G","     11.59","G","      4.54","G"
"UK000003377","1964","53.1658","0.5239","68.0","WADDINGTON, UK","     13.6","","      13.6","G","       113","I","        49","I","         1","I","","","         0","G","        60","G","         3","G","        45","G","         0","G","   -8.6","G,1216, ","","","  32.0"," ,I,0314, ","   29.2","G,0826, ","-0.1","G,1101","-2.6","G,1129","-8.6","G,1216","-8.6","G,1216","","","-0.1","G,0320","-2.3","G,0312","-5.7","G,0221","","","","","    3375.0","0","    3375.0","G","    385.0"," ,I","      9.10","G","     12.87","G","      5.32","G"
"UK000003377","1965","53.1658","0.5239","68.0","WADDINGTON, UK","      1.4","","       1.4","G","       158","I","        86","I","         0","I","","","         0","G","        65","G","         1","G","        21","G","         0","G","   -9.1","G,0303, ","","","  24.0"," ,I,0908, ","   25.0","G,0514, ","-0.8","G,1103","-2.4","G,1114","-4.4","G,1116","","","","","-0.2","G,0420","-2.6","G,0402","-4.5","G,0305","-9.1","G,0303","-9.1","G,0303","    3329.6","6","    3329.6","G","    772.0"," ,I","      8.59","G","     12.17","G","      5.02","G"
"UK000003377","1966","53.1658","0.5239","68.0","WADDINGTON, UK","      1.1","","       1.1","G","       159","I","        88","I","         1","I","","","         0","G","        51","G","         3","G","        26","G","         0","G","  -10.2","G,0119, ","","","  28.0"," ,I,0622, ","   25.7","G,0818, ","-2.0","G,1104","-2.6","G,1111","","","","","","","0.0","G,0416","-3.1","G,0218","-7.5","G,0120","-7.5","G,0120","-10.2","G,0119","    3468.1","1","    3468.1","G","    654.0"," ,I","      9.06","G","     12.55","G","      5.57","G"
"UK000003377","1967","53.1658","0.5239","68.0","WADDINGTON, UK","     13.2","","      13.2","G","       146","I","        64","I","         2","I","","","         0","G","        40","G","         0","G","        34","G","         0","G","   -5.5","G,0108, ","","","  41.0"," ,I,1016, ","   28.4","G,0717, ","-1.0","G,1109","-3.1","G,1119","-4.5","G,1208","","","","","-0.6","G,0503","-3.7","G,0213","-5.5","G,0108","","","","","    3260.5","5","    3260.5","G","    618.0"," ,I","      9.41","G","     13.00","G","      5.83","G"
"UK000003377","1968","53.1658","0.5239","68.0","WADDINGTON, UK","      8.6","","       8.6","G","       138","I","        70","I","         2","I","","","         0","G","        63","G","         4","G","        21","G","         0","G","   -5.9","G,0113, ","","","  50.0"," ,I,0710, ","   28.9","G,0701, ","-0.4","G,1109","-4.6","G,1214","-4.6","G,1214","","","","","-1.0","G,0411","-3.9","G,0408","-4.6","G,0220","","","","","    3258.2","2","    3258.2","G","    648.0"," ,I","      9.01","G","     12.48","G","      5.54","G"
