TypeCode,FreqCode,RefPeriodId,RefYear,RefMonth,Period,ReporterCode,ReporterISO,ReporterDesc,FlowCode,FlowDesc,PartnerCode,PartnerISO,PartnerDesc,Partner2Code,Partner2ISO,Partner2Desc,ClassificationCode,ClassificationSearchCode,IsOriginalClassification,CmdCode,CmdDesc,AggrLevel,IsLeaf,CustomsCode,CustomsDesc,MosCode,MotCode,MotDesc,QtyUnitCode,QtyUnitAbbr,Qty,IsQtyEstimated,AltQtyUnitCode,AltQtyUnitAbbr,AtlQty,IsAltQtyEstimated,NetWgt,IsNetWgtEstimated,GrossWgt,IsGrossWgtEstimated,Cifvalue,Fobvalue,PrimaryValue,LegacyEstimationFlag,IsReported,IsAggregate
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,8,ALB,Albania,643,RUS,Russian Federation,H6,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,0,FALSE,0,FALSE,35360.627,,35360.627,0,FALSE,TRUE
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,428,LVA,Latvia,440,LTU,Lithuania,H6,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,0,FALSE,0,FALSE,19012128.27,,19012128.27,0,FALSE,TRUE
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,136,CYM,Cayman Isds,404,KEN,Kenya,H6,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,0,FALSE,0,FALSE,40393.323,,40393.323,0,FALSE,TRUE
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,674,SMR,San Marino,528,NLD,Netherlands,H6,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,0,FALSE,0,FALSE,3104.884,,3104.884,0,FALSE,TRUE
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,196,CYP,Cyprus,446,MAC,"China, Macao SAR",H6,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,0,FALSE,0,FALSE,35690.008,,35690.008,0,FALSE,TRUE
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,162,CXR,Christmas Isds,0,W00,World,H6,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,0,FALSE,0,FALSE,674268.195,,674268.195,0,FALSE,TRUE
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,534,SXM,Sint Maarten,534,SXM,Sint Maarten,H6,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,0,FALSE,0,FALSE,15743.179,,15743.179,0,FALSE,TRUE
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,757,CHE,Switzerland,422,LBN,Lebanon,H6,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,0,FALSE,0,FALSE,1740.127,,1740.127,0,FALSE,TRUE
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,842,USA,USA,422,LBN,Lebanon,H6,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,0,FALSE,0,FALSE,558015.272,,558015.272,0,FALSE,TRUE
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,52,BRB,Barbados,276,DEU,Germany,H6,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,0,FALSE,0,FALSE,90573.618,,90573.618,0,FALSE,TRUE
