"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105858","1961","54.925","-3.95","73.0","THREAVE, UK","      0.0","","       0.0","E","       180","E","       114","E","         4","E","         0","E","        53","E","         4","E","         4","E","         0","E","  -11.1","E,1231, ","  42.4"," ,E,0912, ","   24.4","E,0828, ","-0.6","E,1104","-2.8","E,1109","-6.7","E,1207","-6.7","E,1207","-9.4","E,1225","-0.6","E,0526","-2.2","E,0404","-4.4","E,0116","","","","","","","","","   1153.8"," ,E","      8.61","E","     12.00","E","      5.22","E"
"UKE00105858","1962","54.925","-3.95","73.0","THREAVE, UK","      0.0","","       0.0","E","       164","E","       110","E","         7","E","         0","E","        83","E","         2","E","         3","E","         0","E","   -9.4","E,0101, ","  46.7"," ,E,1207, ","   23.3","E,0708, ","-0.6","E,0913","-2.2","E,1027","-4.4","E,1119","-7.8","E,1229","","","-0.6","E,0528","-2.2","E,0414","-6.7","E,0315","-6.7","E,0315","-9.4","E,0101","    3675.8","8","    3675.8","E","   1256.1"," ,E","      7.65","E","     11.25","E","      4.06","E"
"UKE00105858","1963","54.925","-3.95","73.0","THREAVE, UK","      0.0","","       0.0","E","       194","E","       128","E","         9","E","         0","E","        95","E","         4","E","        12","E","         0","E","  -11.7","E,0113, ","  61.2"," ,E,0925, ","   24.4","E,0730,+","0.0","E,1014","-2.8","E,1116","-5.0","E,1213","-6.7","E,1220","","","-0.6","E,0412","-4.4","E,0304","-4.4","E,0304","-7.2","E,0302","-9.4","E,0223","    3951.4","4","    3951.4","E","   1409.2"," ,E","      7.38","E","     10.98","E","      3.79","E"
"UKE00105858","1964","54.925","-3.95","73.0","THREAVE, UK","      0.0","","       0.0","E","       183","E","       113","E","         8","E","         0","E","        71","E","         0","E","        11","E","         0","E","   -9.4","E,1228, ","  48.0"," ,E,1006, ","   23.9","E,0527, ","-1.7","E,0821","-5.6","E,1109","-5.6","E,1109","-6.7","E,1226","-9.4","E,1228","-0.6","E,0407","-2.2","E,0405","-6.1","E,0307","-6.7","E,0118","","","    3648.5","5","    3648.5","E","   1158.9"," ,E","      8.20","E","     11.74","E","      4.67","E"
"UKE00105858","1965","54.925","-3.95","73.0","THREAVE, UK","      0.3","","       0.3","E","       183","E","       119","E","         6","E","         0","E","        87","E","         3","E","         4","E","         0","E","  -12.8","E,0302, ","  34.8"," ,E,0925, ","   24.4","E,0811, ","-0.6","E,1103","-5.6","E,1115","-5.6","E,1115","-6.7","E,1227","","","-0.6","E,0520","-4.4","E,0311","-4.4","E,0311","-7.2","E,0304","-12.8","E,0302","    3721.0","0","    3721.0","E","   1238.2"," ,E","      7.56","E","     11.27","E","      3.86","E"
"UKE00105858","1966","54.925","-3.95","73.0","THREAVE, UK","","","","","       196","E","       122","E","         8","E","         0","E","        70","E","","","","","","","   -6.7","E,0118, ","  55.9"," ,E,0813, ","","","-2.2","E,1016","-2.2","E,1016","-4.4","E,1103","","","","","-0.6","E,0510","-2.2","E,0415","-5.6","E,0217","-6.7","E,0118","","","    3725.1","1","    3725.1","E","   1261.3"," ,E","","","","","      4.60","E"
"UKE00105858","1967","54.925","-3.95","73.0","THREAVE, UK","","","","","       231","E","       143","E","         3","E","         0","E","        57","E","","","","","","","   -7.8","E,1220, ","  39.4"," ,E,1008, ","","","-0.1","E,1018","-2.2","E,1108","-4.4","E,1208","-7.8","E,1220","","","-2.8","E,0503","-2.8","E,0503","-5.6","E,0106","","","","","","","","","   1423.2"," ,E","","","","","      4.94","E"
"UKE00105858","1968","54.925","-3.95","73.0","THREAVE, UK","      0.0","","       0.0","E","       168","E","       115","E","         4","E","         0","E","        94","E","         0","E","        20","E","         0","E","   -9.4","E,0110, ","  35.1"," ,E,0322, ","   26.1","E,0613, ","-0.6","E,1103","-4.4","E,1104","-4.4","E,1104","","","","","0.0","E,0518","-2.8","E,0412","-4.4","E,0408","-9.4","E,0110","-9.4","E,0110","    3698.2","2","    3698.2","E","   1197.3"," ,E","      8.19","E","     11.93","E","      4.44","E"
"UKE00105858","1969","54.925","-3.95","73.0","THREAVE, UK","      2.5","","       2.5","E","       196","E","       106","E","         3","E","         0","E","       104","E","         3","E","        26","E","         0","E","  -13.3","E,0216, ","  59.4"," ,E,1213, ","   26.1","E,0714, ","0.0","E,1104","-2.2","E,1112","-5.0","E,1126","","","","","0.0","E,0501","-2.2","E,0419","-5.0","E,0328","-7.2","E,0306","-8.9","E,0218","    3686.6","6","    3686.6","E","    964.3"," ,E","      7.97","E","     11.78","E","      4.16","E"
"UKE00105858","1970","54.925","-3.95","73.0","THREAVE, UK","     11.2","","      11.2","E","       201","E","       120","E","         2","E","         0","E","        83","E","         2","E","        25","E","         0","E","  -12.8","E,0107, ","  46.0"," ,E,1123, ","   28.3","E,0609,+","-1.1","E,1009","-3.3","E,1114","-4.4","E,1208","","","","","0.0","E,0428","-2.2","E,0414","-4.4","E,0325","-6.7","E,0211","-12.2","E,0108","    3506.8","8","    3506.8","E","   1139.4"," ,E","      8.29","E","     12.06","E","      4.52","E"
