"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105873","1960","50.8281","-4.5458","15.0","BUDE, UK","      2.6","","       2.6","E","       229","E","       127","E","         7","E","         0","E","        34","E","         0","E","        13","E","         0","E","   -3.9","E,1211, ","  52.1"," ,E,1026, ","   27.8","E,0603, ","-0.6","E,1108","-3.9","E,1211","","","","","","","0.0","E,0430","-3.3","E,0217","","","","","","","","","","","   1283.8"," ,E","     10.69","E","     13.85","E","      7.52","E"
"UKE00105873","1961","50.8281","-4.5458","15.0","BUDE, UK","      5.6","","       5.6","E","       177","E","       109","E","         1","E","         0","E","        26","E","         0","E","        10","E","         0","E","   -4.4","E,1229,+","  30.0"," ,E,0810, ","   29.4","E,0831, ","-1.1","E,1126","-2.2","E,1207","-4.4","E,1228","","","","","-1.7","E,0328","-2.8","E,0320","","","","","","","    2652.6","6","    2652.6","E","    867.2"," ,E","     10.96","E","     14.00","E","      7.92","E"
"UKE00105873","1962","50.8281","-4.5458","15.0","BUDE, UK","","","","","       179","E","        90","E","         1","E","         0","E","        39","E","","","","","","","   -8.9","E,1226, ","  26.4"," ,E,0720, ","","","-0.6","E,1112","-3.9","E,1113","-5.0","E,1224","-8.9","E,1226","-8.9","E,1226","-3.9","E,0325","-3.9","E,0325","-4.4","E,0306","-6.7","E,0102","","","","","","","    704.5"," ,E","","","","","      6.30","E"
"UKE00105873","1963","50.8281","-4.5458","15.0","BUDE, UK","      0.3","","       0.3","E","       192","E","       100","E","         0","E","         0","E","        68","E","         9","E","        15","E","         0","E","  -10.6","E,0114, ","  22.9"," ,E,0816, ","   26.7","E,0729, ","-2.2","E,1209","-2.2","E,1209","-5.6","E,1214","-8.3","E,1220","","","0.0","E,0403","-3.3","E,0323","-5.6","E,0225","-8.9","E,0204","-8.9","E,0204","    3289.5","5","    3289.5","E","    776.9"," ,E","      9.18","E","     12.41","E","      5.95","E"
"UKE00105873","1964","50.8281","-4.5458","15.0","BUDE, UK","","","","","       173","E","        84","E","         0","E","         0","E","        38","E","","","","","","","   -6.1","E,1228, ","  25.1"," ,E,0714, ","","","-1.7","E,1130","-2.8","E,1215","-6.1","E,1228","","","","","-0.6","E,0408","-2.8","E,0309","-4.4","E,0208","","","","","    2944.0","0","    2944.0","E","    649.3"," ,E","","","","","      6.99","E"
"UKE00105873","1965","50.8281","-4.5458","15.0","BUDE, UK","","","","","       193","E","       111","E","         1","E","","","","","         0","E","         8","E","         0","E","","","  30.0"," ,E,0711, ","   25.6","E,0811, ","","","","","","","","","","","","","","","","","","","","","","","","","    894.5"," ,E","","","     13.07","E","",""
"UKE00105873","1966","50.8281","-4.5458","15.0","BUDE, UK","      1.1","","       1.1","E","       210","E","       118","E","         4","E","         0","E","        21","E","         0","E","        13","E","         0","E","   -5.6","E,0116, ","  31.0"," ,E,0617, ","   24.4","E,0609, ","-0.1","E,1026","","","","","","","","","-2.2","E,0403","-2.2","E,0403","-5.6","E,0116","","","","","    2710.8","8","    2710.8","E","    911.8"," ,E","     10.76","E","     13.69","E","      7.84","E"
"UKE00105873","1967","50.8281","-4.5458","15.0","BUDE, UK","      3.6","","       3.6","E","       205","E","       106","E","         1","E","         0","E","        21","E","         0","E","        13","E","         0","E","   -7.2","E,0109, ","  30.0"," ,E,1218, ","   27.2","E,0711, ","-1.7","E,1117","-2.8","E,1210","","","","","","","-2.2","E,0401","-2.2","E,0401","-5.0","E,0110","-7.2","E,0109","","","    2785.6","6","    2785.6","E","    864.8"," ,E","     10.52","E","     13.36","E","      7.68","E"
"UKE00105873","1968","50.8281","-4.5458","15.0","BUDE, UK","","","","","       172","E","        97","E","         1","E","","","","","         0","E","        20","E","         0","E","","","  30.0"," ,E,1224, ","   28.3","E,0821, ","","","","","","","","","","","","","","","","","","","","","    2908.7","7","    2908.7","E","    802.8"," ,E","","","     13.47","E","",""
"UKE00105873","1969","50.8281","-4.5458","15.0","BUDE, UK","      4.0","","       4.0","E","       184","E","       101","E","         3","E","         0","E","        36","E","         1","E","        16","E","         0","E","  -11.1","E,0216, ","  72.9"," ,E,0728, ","   27.8","E,0714, ","-1.7","E,1125","-4.4","E,1130","-4.4","E,1130","","","","","-0.1","E,0430","-3.9","E,0328","-7.8","E,0218","-7.8","E,0218","-10.6","E,0217","","","","","    887.3"," ,E","     10.35","E","     13.55","E","      7.15","E"
"UKE00105873","1970","50.8281","-4.5458","15.0","BUDE, UK","","","","","       193","E","       120","E","         1","E","         0","E","        41","E","","","","","","","   -5.6","E,1231,+","  39.5"," ,E,1101, ","","","-0.6","E,1209","-3.3","E,1222","-5.6","E,1231","","","","","-1.1","E,0409","-3.3","E,0408","-4.4","E,0107","","","","","    2771.8","8","    2771.8","E","    982.1"," ,E","","","","","      7.63","E"
