"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105905","1875","53.2567","-1.9131","307.0","BUXTON, UK","      0.6","","       0.6","E","       186","E","       122","E","         9","E","         0","E","        87","E","        13","E","        10","E","         0","E","  -10.3","E,0224, ","  38.4"," ,E,0807, ","   24.4","E,0815, ","-1.1","E,1012","-2.8","E,1014","-5.1","E,1126","","","","","-0.3","E,0530","-4.8","E,0414","-4.8","E,0414","-10.3","E,0224","-10.3","E,0224","","","","","   1315.4"," ,E","      7.51","E","     11.12","E","      3.91","E"
"UKE00105905","1889","53.2567","-1.9131","307.0","BUXTON, UK","","","","","       211","E","       125","E","         1","E","","","","","        16","E","        19","E","         0","E","","","  30.0"," ,E,0319, ","   23.5","E,0601, ","","","","","","","","","","","","","","","","","","","","","","","","","   1158.5"," ,E","","","     10.37","E","",""
"UKE00105905","1890","53.2567","-1.9131","307.0","BUXTON, UK","","","","","       216","E","       126","E","         5","E","         0","E","        93","E","        20","E","        13","E","         0","E","  -11.7","E,0305, ","  56.1"," ,E,0126, ","   29.2","E,0731, ","-0.1","E,0902","-2.3","E,1111","-5.1","E,1115","-7.5","E,1210","-10.0","E,1215","-0.6","E,0502","-3.7","E,0413","-4.6","E,0403","-6.9","E,0306","-11.7","E,0305","","","","","   1275.0"," ,E","      7.09","E","     10.96","E","      3.23","E"
"UKE00105905","1892","53.2567","-1.9131","307.0","BUXTON, UK","","","","","       203","E","       121","E","         8","E","","","","","","","","","","","","","  38.1"," ,E,1118, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1289.8"," ,E","","","","","",""
"UKE00105905","1893","53.2567","-1.9131","307.0","BUXTON, UK","      7.5","","       7.5","E","       190","E","       127","E","         4","E","         0","E","        87","E","         2","E","        40","E","         0","E","  -11.7","E,0104, ","  34.3"," ,E,0517, ","   28.3","E,0817, ","-1.0","E,0913","-3.9","E,1101","-5.3","E,1102","-6.8","E,1202","-10.9","E,1203","-0.3","E,0512","-2.5","E,0413","-4.4","E,0404","-9.8","E,0107","-9.8","E,0107","    3717.9","9","    3717.9","E","   1042.0"," ,E","      8.34","E","     12.92","E","      3.75","E"
"UKE00105905","1912","53.2567","-1.9131","307.0","BUXTON, UK","      3.6","","       3.6","E","       232","E","       134","E","         6","E","         0","E","        63","E","         9","E","         8","E","         0","E","  -12.2","E,0130, ","  31.0"," ,E,1026, ","   27.2","E,0714, ","-2.8","E,1004","-2.8","E,1004","-5.0","E,1128","","","","","-0.6","E,0430","-3.9","E,0412","-4.4","E,0206","-8.9","E,0205","-8.9","E,0205","","","","","   1382.8"," ,E","      7.67","E","     10.97","E","      4.37","E"
"UKE00105905","1913","53.2567","-1.9131","307.0","BUXTON, UK","","","","","       232","E","       108","E","         1","E","","","","","         3","E","        17","E","         0","E","","","  33.0"," ,E,0322, ","   23.9","E,0802, ","","","","","","","","","","","","","","","","","","","","","    3888.1","1","    3888.1"," ","   1065.8"," ,E","","","     11.44","E","",""
"UKE00105905","1921","53.2567","-1.9131","307.0","BUXTON, UK","     11.9","","      11.9","E","       165","E","        97","E","         5","E","         0","E","        59","E","         0","E","        37","E","         0","E","   -7.8","E,1111, ","  52.4"," ,E,0117, ","   28.9","E,0709, ","0.0","E,1024","-2.2","E,1107","-4.4","E,1108","-7.8","E,1111","","","-0.6","E,0705","-2.2","E,0505","-5.0","E,0115","","","","","","","","","    939.1"," ,E","      8.74","E","     12.49","E","      5.00","E"
"UKE00105905","1922","53.2567","-1.9131","307.0","BUXTON, UK","      0.6","","       0.6","E","       208","E","       126","E","         6","E","         0","E","        93","E","         5","E","        16","E","         0","E","   -7.8","E,0206, ","  53.2"," ,E,0705, ","   26.1","E,0531,+","0.0","E,1008","-3.3","E,1026","-4.4","E,1125","","","","","-1.1","E,0513","-2.8","E,0421","-4.4","E,0403","-7.8","E,0206","","","    3507.2","2","    3507.2","E","   1193.1"," ,E","      6.85","E","     10.15","E","      3.56","E"
"UKE00105905","1926","53.2567","-1.9131","307.0","BUXTON, UK","      6.2","","       6.2","E","       198","E","       115","E","         3","E","         0","E","        70","E","         4","E","        19","E","         0","E","  -10.0","E,0116, ","  29.1"," ,E,0925, ","   26.1","E,0713, ","-3.9","E,1018","-3.9","E,1018","-6.1","E,1024","","","","","-1.1","E,0520","-4.4","E,0322","-4.4","E,0322","-6.7","E,0117","-10.0","E,0116","","","","","   1097.3"," ,E","      7.86","E","     11.06","E","      4.65","E"
