"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105918","1971","51.3458","1.34","49.0","MANSTON, UK","      7.3","","       7.3","E","       122","E","        52","E","         1","E","        1","","         0","E","        23","E","         1","E","        29","E","         0","E","   -5.8","E,0103, ","    30"," ,E,0101, ","  32.9"," ,E,0614, ","   25.6","E,0714,+","-0.9","E,1107","-3.2","E,1202","","","","","-0.9","E,0328","-3.5","E,0307","-5.8","E,0103","","","","","    2920.9","9","    2920.9","E","    485.8"," ,E","     10.17","E","     13.46","E","      6.88","E"
"UKE00105918","1972","51.3458","1.34","49.0","MANSTON, UK","      1.7","","       1.7","E","       142","E","        60","E","         1","E","        2","","         0","E","        23","E","         1","E","        17","E","         0","E","  -12.0","E,0131, ","    90"," ,E,0131, ","  29.0"," ,E,0918, ","   23.7","E,0805, ","0.0","E,1115","-4.0","E,1221","","","","","-0.5","E,0306","-9.2","E,0201","-9.2","E,0201","-9.2","E,0201","-9.2","E,0201","    2854.8","8","    2854.8","E","    443.4"," ,E","      9.87","E","     13.11","E","      6.63","E"
"UKE00105918","1973","51.3458","1.34","49.0","MANSTON, UK","     36.0","","      36.0","E","       122","E","        47","E","         1","E","        1","","         0","E","        37","E","         0","E","        52","E","         0","E","   -4.7","E,0215, ","    40"," ,E,0215, ","  44.1"," ,E,0915, ","   29.6","E,0904, ","-1.9","E,1117","-4.3","E,1128","","","","","-0.2","E,0426","-2.2","E,0228","-4.7","E,0215","","","","","    2900.5","5","    2900.5","E","    422.2"," ,E","     10.27","E","     13.78","E","      6.77","E"
"UKE00105918","1974","51.3458","1.34","49.0","MANSTON, UK","      3.0","","       3.0","E","       156","E","        84","E","         0","E","        0","","         0","E","        12","E","         0","E","        27","E","         0","E","   -2.9","E,0304, ","    10"," ,E,0206, ","  20.7"," ,E,1007, ","   24.8","E,0815, ","0.0","E,1127","","","","","","","-0.1","E,0315","-2.9","E,0304","","","","","","","    2764.3","3","    2764.3","E","    614.6"," ,E","     10.20","E","     13.54","E","      6.85","E"
"UKE00105918","1975","51.3458","1.34","49.0","MANSTON, UK","     55.1","","      55.1","E","       147","E","        70","E","         2","E","        0","","         0","E","        22","E","         0","E","        52","E","         0","E","   -6.7","E,1216, ","    20"," ,E,0409, ","  54.7"," ,E,0913, ","   31.9","E,0806, ","-1.9","E,1114","-3.2","E,1130","-5.0","E,1215","-6.7","E,1216","-0.9","E,0409","-2.4","E,0406","","","","","","","    3001.5","5","    3001.5","E","    686.1"," ,E","     10.21","E","     13.65","E","      6.78","E"
"UKE00105918","1976","51.3458","1.34","49.0","MANSTON, UK","     84.9","","      84.9","E","       122","E","        60","E","         2","E","        0","","         0","E","        34","E","         1","E","        71","E","         0","E","   -5.4","E,1229, ","     0"," ,E,1231,+","  28.4"," ,E,0913, ","   31.2","E,0625, ","0.0","E,1104","-3.4","E,1205","-5.4","E,1229","","","-0.6","E,0404","-2.8","E,0309","","","","","","","    2828.4","4","    2828.4","E","    606.9"," ,E","     10.64","E","     13.99","E","      7.28","E"
"UKE00105918","1977","51.3458","1.34","49.0","MANSTON, UK","      2.5","","       2.5","E","       156","E","        64","E","         0","E","        0","","         0","E","        18","E","         0","E","        17","E","         0","E","   -3.7","E,0104, ","    20"," ,E,0112, ","  24.4"," ,E,0822, ","   25.6","E,0722, ","-0.4","E,1119","","","","","","","-0.1","E,0420","-2.6","E,0202","","","","","","","    2878.5","5","    2878.5","E","    553.0"," ,E","     10.13","E","     13.18","E","      7.08","E"
"UKE00105918","1978","51.3458","1.34","49.0","MANSTON, UK","      5.7","","       5.7","E","       142","E","        66","E","         0","E","        1","","         0","E","        37","E","         3","E","        31","E","         0","E","   -4.1","E,1231, ","    50"," ,E,1231, ","  21.4"," ,E,0413, ","   26.2","E,0819, ","-3.0","E,1130","-3.0","E,1130","","","","","-0.3","E,0413","-2.2","E,0306","","","","","","","    2965.7","7","    2965.7","E","    441.0"," ,E","      9.90","E","     13.13","E","      6.66","E"
"UKE00105918","1979","51.3458","1.34","49.0","MANSTON, UK","      3.9","","       3.9","E","       148","E","        73","E","         0","E","        9","","         0","E","        59","E","         2","E","        38","E","         0","E","   -8.9","E,0102, ","    60"," ,E,0101, ","  25.2"," ,E,1227, ","   27.9","E,0727, ","-0.5","E,1117","","","","","","","-0.7","E,0506","-2.5","E,0405","-5.0","E,0226","-7.6","E,0107","-8.9","E,0102","    3063.0","0","    3063.0","E","    573.3"," ,E","      9.50","E","     12.94","E","      6.07","E"
"UKE00105918","1980","51.3458","1.34","49.0","MANSTON, UK","      9.1","","       9.1","E","       141","E","        58","E","         1","E","        0","","         0","E","        27","E","         0","E","        33","E","         0","E","   -8.9","E,0114, ","    10"," ,E,0119, ","  44.6"," ,E,0919, ","   25.3","E,0819,+","-1.6","E,1127","-2.3","E,1208","","","","","-1.1","E,0322","-2.4","E,0304","-5.7","E,0115","-8.9","E,0114","-8.9","E,0114","    2945.8","8","    2945.8","E","    517.3"," ,E","      9.87","E","     13.17","E","      6.57","E"
