"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105871","1974","50.2917","-3.6508","32.0","SLAPTON, UK","      0.4","","       0.4","E","       190","E","       124","E","         7","E","         0","E","         2","E","         0","E","         9","E","         0","E","   -0.5","E,0302, ","  44.4"," ,E,0904, ","   23.8","E,0614,+","","","","","","","0.0","E,0306","","","","","","","    2550.1","1","    2550.1","E","   1248.0"," ,E","     10.79","E","     13.93","E","      7.65","E"
"UKE00105871","1975","50.2917","-3.6508","32.0","SLAPTON, UK","","","","","       134","E","        79","E","         2","E","         0","E","        10","E","","","","","","","   -1.3","E,0319, ","  46.3"," ,E,0913, ","","","-0.5","E,1214","","","","","-0.1","E,0410","","","","","","","    2672.6","6","    2672.6"," ","    736.1"," ,E","","","","","      8.03","E"
"UKE00105871","1976","50.2917","-3.6508","32.0","SLAPTON, UK","     76.7","","      76.7","E","       148","E","        91","E","         3","E","         0","E","        17","E","         0","E","        68","E","         0","E","   -2.4","E,1229, ","  48.8"," ,E,1129, ","   30.5","E,0627, ","-1.0","E,1205","-2.4","E,1229","","","-1.5","E,0324","","","","","","","","","","","    841.2"," ,E","     11.14","E","     14.50","E","      7.79","E"
"UKE00105871","1977","50.2917","-3.6508","32.0","SLAPTON, UK","","","","","       183","E","       115","E","         4","E","         0","E","        14","E","","","","","","","   -2.0","E,0113, ","  45.9"," ,E,0823, ","","","","","","","","","-1.1","E,0408","","","","","","","","","","","   1057.9"," ,E","","","","","      7.74","E"
"UKE00105871","1978","50.2917","-3.6508","32.0","SLAPTON, UK","      0.1","","       0.1","E","       167","E","        98","E","         2","E","         0","E","        18","E","         0","E","        13","E","         0","E","   -5.0","E,0211, ","  28.2"," ,E,0710, ","   23.3","E,0618, ","-0.6","E,1128","-3.2","E,1231","","","-2.5","E,0411","-2.5","E,0411","-5.0","E,0211","","","    2714.4","4","    2714.4","E","    968.2"," ,E","     10.74","E","     14.07","E","      7.42","E"
"UKE00105871","1979","50.2917","-3.6508","32.0","SLAPTON, UK","      0.3","","       0.3","E","       179","E","       110","E","         6","E","         0","E","        31","E","         0","E","        19","E","         0","E","   -7.8","E,0102, ","  40.5"," ,E,0728, ","   24.5","E,0726, ","-1.0","E,1222","","","","","-0.1","E,0502","-2.4","E,0318","-4.8","E,0216","-7.8","E,0102","    2808.3","3","    2808.3","E","   1156.1"," ,E","     10.10","E","     13.51","E","      6.69","E"
"UKE00105871","1980","50.2917","-3.6508","32.0","SLAPTON, UK","      0.6","","       0.6","E","       171","E","       106","E","         3","E","         0","E","        16","E","         0","E","        10","E","         0","E","   -4.5","E,0323, ","  42.3"," ,E,1013, ","   22.9","E,0518, ","0.0","E,1130","","","","","-4.5","E,0323","-4.5","E,0323","-4.5","E,0323","","","    2703.7","7","    2703.7","E","   1116.8"," ,E","     10.59","E","     13.79","E","      7.38","E"
"UKE00105871","1981","50.2917","-3.6508","32.0","SLAPTON, UK","      9.1","","       9.1","E","       184","E","       109","E","         4","E","         0","E","        19","E","         0","E","        30","E","         0","E","   -4.5","E,1219, ","  35.8"," ,E,0919,+","   26.2","E,0826, ","-1.2","E,1218","-4.5","E,1219","-4.5","E,1219","-0.6","E,0222","-2.2","E,0113","","","","","    2706.0","0","    2706.0","E","   1165.3"," ,E","     10.67","E","     13.79","E","      7.55","E"
"UKE00105871","1982","50.2917","-3.6508","32.0","SLAPTON, UK","","","","","       189","E","       111","E","         4","E","         0","E","         9","E","","","","","","","   -1.5","E,0111, ","  51.9"," ,E,0617, ","","","-0.5","E,1219","","","","","-0.5","E,0224","","","","","","","","","","","   1159.8"," ,E","","","","","      7.99","E"
"UKE00105871","1983","50.2917","-3.6508","32.0","SLAPTON, UK","     56.4","","      56.4","E","       170","E","        95","E","         2","E","         0","E","         7","E","         0","E","        49","E","         0","E","   -2.0","E,0210, ","  34.1"," ,E,1126, ","   27.5","E,0712, ","-0.4","E,1115","","","","","-0.5","E,0214","","","","","","","    2677.2","2","    2677.2","E","    910.0"," ,E","     11.19","E","     14.31","E","      8.08","E"
