"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105681","2001","54.65","-6.22","81.0","ALDERGROVE, UK","      2.7","","       2.7","E","       187","E","        95","E","         0","E","        8","","         0","E","        48","E","         0","E","        13","E","         0","E","   -6.9","E,0302, ","   170"," ,E,0227, ","  22.6"," ,E,0814, ","   23.9","E,0727, ","-0.1","E,1113","-2.8","E,1221","-6.1","E,1231","","","","","-0.9","E,0420","-3.0","E,0319","-6.9","E,0302","-6.9","E,0302","","","","","","","    699.9"," ,E","      9.30","E","     12.66","E","      5.93","E"
"UKE00105681","2002","54.65","-6.22","81.0","ALDERGROVE, UK","      1.9","","       1.9","E","       220","E","       128","E","         2","E","","","         0","E","        20","E","         0","E","         7","E","         0","E","   -7.5","E,0101, ","","","  34.8"," ,E,0417, ","   24.4","E,0804, ","-1.0","E,1018","-3.4","E,1217","","","","","","","-0.5","E,0415","-2.9","E,0313","-5.7","E,0102","-7.5","E,0101","","","    2947.8","8","    2947.8","E","   1094.4"," ,E","      9.92","E","     13.15","E","      6.69","E"
"UKE00105681","2003","54.65","-6.22","81.0","ALDERGROVE, UK","","","","","","","","","","","","","         0","E","        40","E","         0","E","        23","E","         0","E","   -7.2","E,0105, ","","","","","   27.3","E,0715, ","-0.4","E,1020","-3.9","E,1201","-4.5","E,1229","","","","","-1.2","E,0411","-2.7","E,0323","-5.3","E,0106","-7.2","E,0105","","","","","","","","","      9.72","E","     13.18","E","      6.26","E"
"UKE00105681","2004","54.65","-6.22","81.0","ALDERGROVE, UK","      0.7","","       0.7","E","       196","E","        92","E","         0","E","","","         0","E","        31","E","         0","E","        13","E","         0","E","   -6.5","E,0229, ","","","  22.8"," ,E,1027, ","   23.8","E,0801, ","-1.6","E,1119","","","","","","","","","-0.9","E,0324","-4.4","E,0301","-4.4","E,0301","","","","","    3078.1","1","    3078.1","E","    755.8"," ,E","      9.66","E","     12.87","E","      6.45","E"
"UKE00105681","2005","54.65","-6.22","81.0","ALDERGROVE, UK","      7.6","","       7.6","E","       183","E","        80","E","         0","E","","","         0","E","        33","E","         0","E","        17","E","         0","E","   -4.7","E,0123, ","","","  25.0"," ,E,0618, ","   27.6","E,0711, ","-2.3","E,1117","-2.3","E,1117","","","","","","","-0.8","E,0510","-3.6","E,0306","-4.7","E,0123","","","","","    3103.7","7","    3103.7","E","    714.4"," ,E","      9.75","E","     12.92","E","      6.59","E"
"UKE00105681","2006","54.65","-6.22","81.0","ALDERGROVE, UK","     23.7","","      23.7","E","       207","E","       104","E","         2","E","","","         0","E","        35","E","         0","E","        30","E","         0","E","   -6.5","E,0304, ","","","  35.2"," ,E,0920, ","   28.6","E,0719, ","-0.9","E,1103","-2.7","E,1221","","","","","","","-3.4","E,0410","-3.4","E,0410","-6.5","E,0304","","","","","    3225.4","4","    3225.4","E","    852.7"," ,E","      9.87","E","     13.17","E","      6.56","E"
"UKE00105681","2007","54.65","-6.22","81.0","ALDERGROVE, UK","      0.0","","       0.0","E","       196","E","        97","E","         2","E","","","         0","E","        25","E","         0","E","         6","E","         0","E","   -7.0","E,0207, ","","","  27.2"," ,E,0628, ","   24.3","E,0611, ","-0.5","E,1112","-3.6","E,1225","","","","","","","-0.9","E,0329","-2.4","E,0218","-5.0","E,0208","-7.0","E,0207","","","    2873.1","1","    2873.1","E","    774.0"," ,E","     10.08","E","     13.35","E","      6.80","E"
"UKE00105681","2008","54.65","-6.22","81.0","ALDERGROVE, UK","      0.9","","       0.9","E","","","","","","","","","         0","E","        31","E","         0","E","        14","E","         0","E","   -5.0","E,0219, ","","","","","   24.6","E,0728, ","-0.7","E,1029","-2.3","E,1130","","","","","","","-0.4","E,0411","-3.1","E,0318","-5.0","E,0219","","","","","    3036.1","1","    3036.1","E","","","      9.50","E","     12.84","E","      6.15","E"
"UKE00105681","2009","54.65","-6.22","81.0","ALDERGROVE, UK","      4.5","","       4.5","E","       210","E","       103","E","         1","E","","","         0","E","        39","E","         0","E","        14","E","         0","E","   -6.7","E,1224, ","","","  48.2"," ,E,0819, ","   25.9","E,0601, ","-1.8","E,1130","-3.0","E,1220","-6.7","E,1224","-6.7","E,1224","","","-1.2","E,0329","-2.3","E,0305","","","","","","","    3148.6","6","    3148.6","E","    881.1"," ,E","      9.76","E","     13.03","E","      6.49","E"
"UKE00105681","2010","54.65","-6.22","81.0","ALDERGROVE, UK","      0.7","","       0.7","E","       191","E","        98","E","         2","E","","","         0","E","        81","E","        11","E","        23","E","         0","E","  -14.9","E,1222, ","","","  29.2"," ,E,0715, ","   24.4","E,0521, ","-1.8","E,1024","-2.2","E,1025","-8.6","E,1128","-8.6","E,1128","-9.5","E,1207","-0.2","E,0422","-3.1","E,0311","-5.2","E,0309","-7.1","E,0109","-9.9","E,0108","    3260.5","5","    3260.5","E","    780.6"," ,E","      8.47","E","     12.15","E","      4.79","E"
