"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105866","1970","52.1389","-4.5717","133.0","ABERPORTH, UK","      2.6","","       2.6","E","       201","E","       113","E","         0","E","        3","","         0","E","        34","E","         0","E","        14","E","         0","E","   -2.8","E,0104, ","    60"," ,E,0401,+","  19.9"," ,E,1101, ","   25.2","E,0802, ","-0.2","E,1208","-2.3","E,1227","","","-0.3","E,0411","-2.3","E,0213","","","","","","","    3058.7","7","    3058.7","E","    883.9"," ,E","      9.53","E","     12.12","E","      6.93","E"
"UKE00105866","1971","52.1389","-4.5717","133.0","ABERPORTH, UK","      1.3","","       1.3","E","       165","E","        91","E","         4","E","        0","","         0","E","        17","E","         0","E","        12","E","         0","E","   -4.0","E,0104, ","     0"," ,E,1231,+","  41.8"," ,E,0618, ","   24.8","E,0707, ","-0.9","E,1120","","","","","-1.0","E,0308","-3.4","E,0307","","","","","","","    2998.6","6","    2998.6","E","    880.5"," ,E","      9.87","E","     12.64","E","      7.09","E"
"UKE00105866","1972","52.1389","-4.5717","133.0","ABERPORTH, UK","      0.0","","       0.0","E","       155","E","       106","E","         2","E","        0","","         0","E","         8","E","         0","E","         3","E","         0","E","   -6.6","E,0131, ","     0"," ,E,1231,+","  34.9"," ,E,0908, ","   22.0","E,0717, ","-0.8","E,1125","","","","","-0.4","E,0314","-5.1","E,0201","-5.1","E,0201","","","","","    3073.1","1","    3073.1","E","    911.0"," ,E","      9.17","E","     11.70","E","      6.64","E"
"UKE00105866","1973","52.1389","-4.5717","133.0","ABERPORTH, UK","","","","","       156","E","        86","E","         1","E","        0","","         0","E","        18","E","         0","E","        14","E","         0","E","   -3.5","E,0215, ","    20"," ,E,0226, ","  85.0"," ,E,0805, ","   28.0","E,0813, ","-0.1","E,1201","","","","","-0.3","E,0410","-3.5","E,0215","","","","","","","","","","","    755.8"," ,E","      9.69","E","     12.37","E","      7.00","E"
"UKE00105866","1974","52.1389","-4.5717","133.0","ABERPORTH, UK","      0.1","","       0.1","E","       198","E","       115","E","         1","E","        0","","         0","E","         6","E","         0","E","         3","E","         0","E","   -1.2","E,0305, ","    20"," ,E,0206, ","  34.5"," ,E,0104, ","   26.2","E,0620, ","","","","","","","-0.9","E,0306","","","","","","","","","    2995.9","9","    2995.9","E","    996.5"," ,E","      9.42","E","     12.02","E","      6.82","E"
"UKE00105866","1975","52.1389","-4.5717","133.0","ABERPORTH, UK","     17.6","","      17.6","E","       160","E","        82","E","         1","E","        0","","         0","E","        10","E","         0","E","        10","E","         0","E","   -2.2","E,1214, ","     0"," ,E,1231,+","  26.1"," ,E,1009, ","   30.0","E,0802, ","-0.6","E,1213","-2.2","E,1214","","","0.0","E,0409","","","","","","","","","    3203.8","8","    3203.8","E","    655.3"," ,E","      9.89","E","     12.55","E","      7.23","E"
"UKE00105866","1976","52.1389","-4.5717","133.0","ABERPORTH, UK","     42.8","","      42.8","E","       161","E","        80","E","         4","E","        0","","         0","E","        20","E","         0","E","        29","E","         0","E","   -4.1","E,0309, ","    10"," ,E,1217, ","  32.4"," ,E,0925, ","   31.5","E,0630, ","-0.5","E,1204","-2.8","E,1229","","","-1.4","E,0324","-2.6","E,0323","","","","","","","    2980.6","6","    2980.6","E","    729.0"," ,E","      9.75","E","     12.49","E","      7.00","E"
"UKE00105866","1977","52.1389","-4.5717","133.0","ABERPORTH, UK","      0.8","","       0.8","E","       182","E","       107","E","         1","E","        0","","         0","E","        17","E","         0","E","         8","E","         0","E","   -5.3","E,0112, ","     0"," ,E,1231,+","  39.6"," ,E,1030, ","   26.3","E,0704, ","-1.9","E,1126","","","","","-0.2","E,0227","-2.6","E,0130","-5.3","E,0112","","","","","    3150.0","0","    3150.0","E","    892.6"," ,E","      9.55","E","     12.17","E","      6.93","E"
"UKE00105866","1978","52.1389","-4.5717","133.0","ABERPORTH, UK","","","","","       180","E","        86","E","         2","E","        8","","         0","E","        29","E","         0","E","         5","E","         0","E","   -5.6","E,0212, ","    60"," ,E,0213, ","  32.3"," ,E,0814, ","   25.8","E,0530, ","-0.9","E,1128","-2.6","E,1231","","","-1.5","E,0411","-2.2","E,0218","-5.6","E,0212","","","","","    3057.3","3","    3057.3","E","    734.6"," ,E","      9.37","E","     11.87","E","      6.88","E"
"UKE00105866","1979","52.1389","-4.5717","133.0","ABERPORTH, UK","      0.0","","       0.0","E","       194","E","       102","E","         3","E","        5","","         0","E","        42","E","         0","E","         4","E","         0","E","   -6.0","E,0101, ","    80"," ,E,0123, ","  46.2"," ,E,1003, ","   23.2","E,0726, ","-1.4","E,1113","-2.4","E,1222","","","-2.0","E,0406","-3.3","E,0216","-4.7","E,0215","","","","","","","","","    975.6"," ,E","      8.75","E","     11.42","E","      6.07","E"
"UKE00105866","1980","52.1389","-4.5717","133.0","ABERPORTH, UK","      1.8","","       1.8","E","       183","E","        98","E","         1","E","        0","","         0","E","        19","E","         0","E","         7","E","         0","E","   -3.6","E,0102, ","    10"," ,E,0322, ","  27.7"," ,E,0614, ","   26.0","E,0603, ","-0.5","E,1103","-2.8","E,1201","","","-0.9","E,0323","-3.4","E,0322","","","","","","","    3107.5","5","    3107.5","E","    827.3"," ,E","      9.40","E","     11.94","E","      6.87","E"
"UKE00105866","1981","52.1389","-4.5717","133.0","ABERPORTH, UK","      1.3","","       1.3","E","       178","E","       107","E","         3","E","        1","","         0","E","        31","E","         0","E","         7","E","         0","E","   -4.5","E,1212, ","    70"," ,E,0223, ","  28.5"," ,E,1019, ","   25.0","E,0827, ","0.0","E,1208","-4.5","E,1212","-4.5","E,1212","-0.3","E,0304","-2.2","E,0225","","","","","","","    3043.7","7","    3043.7","E","    942.5"," ,E","      9.34","E","     12.04","E","      6.65","E"
"UKE00105866","1982","52.1389","-4.5717","133.0","ABERPORTH, UK","      1.4","","       1.4","E","       185","E","        97","E","         2","E","        8","","         0","E","        18","E","         4","E","        12","E","         0","E","   -7.0","E,0115, ","   120"," ,E,0115,+","  42.0"," ,E,0714, ","   25.5","E,0608, ","0.0","E,1130","","","","","-0.8","E,0224","-7.0","E,0115","-7.0","E,0115","-7.0","E,0115","","","    3113.0","0","    3113.0","E","    917.9"," ,E","      9.74","E","     12.50","E","      6.97","E"
"UKE00105866","1983","52.1389","-4.5717","133.0","ABERPORTH, UK","     33.2","","      33.2","E","       175","E","        98","E","         2","E","        1","","         0","E","        23","E","         0","E","        21","E","         0","E","   -3.6","E,1123, ","    40"," ,E,0221, ","  42.3"," ,E,1214, ","   29.5","E,0818, ","-0.9","E,1029","-2.9","E,1122","","","-0.3","E,0420","-2.8","E,0214","","","","","","","    3167.4","4","    3167.4","E","    821.7"," ,E","      9.87","E","     12.54","E","      7.19","E"
"UKE00105866","1984","52.1389","-4.5717","133.0","ABERPORTH, UK","     13.6","","      13.6","E","       168","E","        96","E","         1","E","        0","","         0","E","        17","E","         0","E","        21","E","         0","E","   -3.0","E,0120, ","    10"," ,E,0220, ","  50.5"," ,E,0927, ","   29.1","E,0707, ","-0.2","E,1226","","","","","-1.1","E,0402","-3.0","E,0120","","","","","","","    3015.6","6","    3015.6","E","    852.7"," ,E","      9.61","E","     12.42","E","      6.79","E"
"UKE00105866","1985","52.1389","-4.5717","133.0","ABERPORTH, UK","      1.7","","       1.7","E","       183","E","       112","E","         1","E","        7","","         0","E","        41","E","         4","E","        10","E","         0","E","   -7.5","E,0212, ","   160"," ,E,0119, ","  26.8"," ,E,1109, ","   26.3","E,0724, ","-1.3","E,1129","-3.9","E,1228","-5.8","E,1230","-0.6","E,0321","-3.5","E,0320","-5.0","E,0218","-7.5","E,0212","","","    3161.3","3","    3161.3","E","    871.0"," ,E","      8.84","E","     11.57","E","      6.11","E"
