"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105870","1960","50.3539","-4.1208","50.0","PLYMOUTH MOUNTBATTEN, UK","      3.9","","       3.9","E","       191","E","       120","E","         6","E","         0","E","        27","E","         0","E","        13","E","         0","E","   -3.9","E,0114, ","  37.8"," ,E,0123, ","   26.1","E,0625, ","0.0","E,1108","-3.3","E,1209","","","-2.8","E,0218","-2.8","E,0218","","","","","","","","","   1332.3"," ,E","     10.68","E","     13.69","E","      7.66","E"
"UKE00105870","1961","50.3539","-4.1208","50.0","PLYMOUTH MOUNTBATTEN, UK","      2.7","","       2.7","E","       165","E","       102","E","         4","E","         0","E","        17","E","         0","E","        14","E","         0","E","   -3.8","E,1228, ","  46.3"," ,E,0810, ","   25.1","E,0828, ","-0.6","E,1126","-2.9","E,1207","","","-2.1","E,0320","","","","","","","    2685.8","8","    2685.8","E","   1016.7"," ,E","     10.94","E","     13.97","E","      7.90","E"
"UKE00105870","1962","50.3539","-4.1208","50.0","PLYMOUTH MOUNTBATTEN, UK","      0.5","","       0.5","E","       155","E","        87","E","         4","E","         0","E","        38","E","         1","E","         5","E","         0","E","   -4.7","E,0306, ","  38.3"," ,E,0929, ","   25.5","E,0724, ","-0.4","E,1113","-3.2","E,1224","","","-3.0","E,0325","-3.0","E,0325","-4.7","E,0306","","","    2897.6","6","    2897.6","E","    863.7"," ,E","      9.67","E","     12.76","E","      6.59","E"
"UKE00105870","1963","50.3539","-4.1208","50.0","PLYMOUTH MOUNTBATTEN, UK","      1.5","","       1.5","E","       172","E","       115","E","         2","E","         0","E","        56","E","         4","E","        14","E","         0","E","   -6.5","E,0114, ","  30.2"," ,E,1117, ","   24.8","E,0609, ","-1.1","E,1209","-3.9","E,1221","","","0.0","E,0324","-2.9","E,0225","-4.4","E,0203","","","    3187.4","4","    3187.4","E","    982.4"," ,E","      9.49","E","     12.29","E","      6.68","E"
"UKE00105870","1964","50.3539","-4.1208","50.0","PLYMOUTH MOUNTBATTEN, UK","      2.5","","       2.5","E","       140","E","        85","E","         3","E","         0","E","        23","E","         0","E","        16","E","         0","E","   -5.7","E,1229, ","  32.4"," ,E,0318, ","   24.6","E,0903, ","-1.2","E,1215","-2.3","E,1228","-5.7","E,1229","-2.4","E,0309","-2.4","E,0309","-4.8","E,0207","","","    2873.9","9","    2873.9","E","    846.0"," ,E","     10.38","E","     13.31","E","      7.45","E"
"UKE00105870","1965","50.3539","-4.1208","50.0","PLYMOUTH MOUNTBATTEN, UK","      1.2","","       1.2","E","       191","E","       113","E","         6","E","         0","E","        33","E","         0","E","         4","E","         0","E","   -7.0","E,0303, ","  40.2"," ,E,0124, ","   23.9","E,0811, ","-0.2","E,1115","-2.4","E,1228","","","-0.3","E,0422","-3.2","E,0308","-7.0","E,0303","-7.0","E,0303","    2897.9","9","    2897.9","E","   1190.2"," ,E","      9.83","E","     12.85","E","      6.80","E"
"UKE00105870","1966","50.3539","-4.1208","50.0","PLYMOUTH MOUNTBATTEN, UK","      5.5","","       5.5","E","       195","E","       109","E","         4","E","         0","E","        10","E","         0","E","        15","E","         0","E","   -4.8","E,0116, ","  49.4"," ,E,1022, ","   25.5","E,0720,+","-0.3","E,1104","","","","","0.0","E,0320","-4.8","E,0116","-4.8","E,0116","","","    2769.0","0","    2769.0","E","   1147.1"," ,E","     10.84","E","     13.72","E","      7.97","E"
"UKE00105870","1967","50.3539","-4.1208","50.0","PLYMOUTH MOUNTBATTEN, UK","      0.7","","       0.7","E","       190","E","       105","E","         1","E","         0","E","        19","E","         0","E","        14","E","         0","E","   -3.9","E,0110, ","  30.7"," ,E,1218, ","   26.1","E,0711, ","-0.2","E,1208","-2.2","E,1209","","","-1.5","E,0401","-3.9","E,0110","","","","","    2773.0","0","    2773.0","E","   1000.2"," ,E","     10.49","E","     13.48","E","      7.50","E"
"UKE00105870","1968","50.3539","-4.1208","50.0","PLYMOUTH MOUNTBATTEN, UK","      2.6","","       2.6","E","       169","E","       108","E","         4","E","         0","E","        33","E","         0","E","        18","E","         0","E","   -3.6","E,0111, ","  42.9"," ,E,0627, ","   26.0","E,0630, ","0.0","E,1104","-2.2","E,1214","","","-1.0","E,0409","-2.2","E,0208","","","","","    2950.5","5","    2950.5","E","   1168.9"," ,E","     10.46","E","     13.54","E","      7.37","E"
"UKE00105870","1969","50.3539","-4.1208","50.0","PLYMOUTH MOUNTBATTEN, UK","      6.2","","       6.2","E","       165","E","        94","E","         3","E","         0","E","        36","E","         0","E","        23","E","         0","E","   -5.0","E,0217, "," 113.2"," ,E,0728, ","   26.2","E,0713, ","-0.5","E,1125","-2.2","E,1213","","","-0.7","E,0403","-3.4","E,0309","-5.0","E,0217","","","    2657.5","5","    2657.5","E","    975.1"," ,E","     10.40","E","     13.60","E","      7.21","E"
"UKE00105870","1970","50.3539","-4.1208","50.0","PLYMOUTH MOUNTBATTEN, UK","     10.3","","      10.3","E","       185","E","       101","E","         3","E","         0","E","        33","E","         0","E","        16","E","         0","E","   -4.4","E,0107, ","  33.6"," ,E,0211, ","   25.7","E,0706, ","-0.1","E,1116","-2.8","E,1227","","","0.0","E,0409","-3.1","E,0306","-4.4","E,0107","","","    2780.0","0","    2780.0","E","   1022.5"," ,E","     10.58","E","     13.41","E","      7.74","E"
"UKE00105870","1971","50.3539","-4.1208","50.0","PLYMOUTH MOUNTBATTEN, UK","     18.6","","      18.6","E","       138","E","        74","E","         4","E","         0","E","        24","E","         0","E","        35","E","         0","E","   -3.9","E,0101, ","  29.3"," ,E,0121, ","   27.7","E,0708, ","-0.4","E,1107","-2.8","E,1120","","","-0.9","E,0323","-3.6","E,0307","","","","","    2725.8","8","    2725.8","E","    787.4"," ,E","     10.96","E","     14.20","E","      7.72","E"
"UKE00105870","1972","50.3539","-4.1208","50.0","PLYMOUTH MOUNTBATTEN, UK","      2.5","","       2.5","E","       176","E","       114","E","         3","E","         0","E","        12","E","         0","E","        17","E","         0","E","   -3.6","E,0131, ","  30.8"," ,E,0612, ","   24.8","E,0715, ","-2.3","E,1118","-2.3","E,1118","","","-0.7","E,0302","-3.6","E,0131","","","","","    2655.3","3","    2655.3","E","   1080.9"," ,E","     10.33","E","     13.36","E","      7.30","E"
"UKE00105870","1973","50.3539","-4.1208","50.0","PLYMOUTH MOUNTBATTEN, UK","      9.7","","       9.7","E","       155","E","        81","E","         4","E","         0","E","        25","E","         0","E","        24","E","         0","E","   -3.5","E,0215, ","  39.2"," ,E,0626, ","   26.9","E,0814, ","-0.4","E,1117","-2.3","E,1209","","","-1.2","E,0410","-3.0","E,0216","","","","","    2824.3","3","    2824.3","E","    795.8"," ,E","     10.60","E","     13.82","E","      7.38","E"
"UKE00105870","1974","50.3539","-4.1208","50.0","PLYMOUTH MOUNTBATTEN, UK","      0.0","","       0.0","E","       199","E","       126","E","         6","E","         0","E","         7","E","         0","E","         7","E","         0","E","   -1.9","E,0305, ","  38.0"," ,E,0904, ","   23.1","E,0614,+","","","","","","","-0.6","E,0312","","","","","","","    2674.8","8","    2674.8","E","   1252.9"," ,E","     10.51","E","     13.39","E","      7.63","E"
"UKE00105870","1975","50.3539","-4.1208","50.0","PLYMOUTH MOUNTBATTEN, UK","     35.8","","      35.8","E","       153","E","        79","E","         2","E","         0","E","        11","E","         0","E","        36","E","         0","E","   -1.8","E,0409, ","  49.0"," ,E,0913, ","   29.0","E,0803, ","-0.6","E,1201","","","","","-0.4","E,0410","","","","","","","    2776.1","1","    2776.1","E","    739.9"," ,E","     11.05","E","     14.10","E","      8.01","E"
"UKE00105870","1976","50.3539","-4.1208","50.0","PLYMOUTH MOUNTBATTEN, UK","     67.8","","      67.8","E","       149","E","        87","E","         3","E","         0","E","        25","E","         0","E","        52","E","         0","E","   -5.5","E,1229, ","  46.6"," ,E,0321, ","   31.6","E,0628, ","-0.3","E,1204","-2.7","E,1226","-5.5","E,1229","-0.6","E,0403","-2.7","E,0324","","","","","    2639.7","7","    2639.7","E","    849.4"," ,E","     10.88","E","     14.17","E","      7.59","E"
"UKE00105870","1977","50.3539","-4.1208","50.0","PLYMOUTH MOUNTBATTEN, UK","      8.5","","       8.5","E","       183","E","       113","E","         2","E","         0","E","        16","E","         0","E","        17","E","         0","E","   -3.7","E,0112, ","  39.0"," ,E,0823, ","   26.8","E,0706, ","-1.0","E,1126","","","","","-2.0","E,0408","-3.5","E,0113","","","","","    2830.1","1","    2830.1","E","   1033.8"," ,E","     10.68","E","     13.57","E","      7.81","E"
"UKE00105870","1978","50.3539","-4.1208","50.0","PLYMOUTH MOUNTBATTEN, UK","      0.8","","       0.8","E","       163","E","        95","E","         2","E","         0","E","        24","E","         0","E","        12","E","         0","E","   -5.8","E,0211, ","  27.9"," ,E,0219, ","   24.4","E,0530, ","-1.6","E,1127","-2.9","E,1129","-4.5","E,1231","-0.3","E,0416","-2.4","E,0411","-4.4","E,0213","","","    2709.4","4","    2709.4","E","    898.4"," ,E","     10.56","E","     13.65","E","      7.47","E"
"UKE00105870","1979","50.3539","-4.1208","50.0","PLYMOUTH MOUNTBATTEN, UK","      0.5","","       0.5","E","       186","E","       108","E","         8","E","         0","E","        40","E","         0","E","        10","E","         0","E","   -8.8","E,0102, ","  33.3"," ,E,1227, ","   24.8","E,0725, ","-1.5","E,1113","-2.7","E,1223","","","-0.3","E,0506","-3.1","E,0226","-4.9","E,0215","-8.4","E,0103","    2870.2","2","    2870.2","E","   1035.6"," ,E","      9.96","E","     13.06","E","      6.86","E"
"UKE00105870","1980","50.3539","-4.1208","50.0","PLYMOUTH MOUNTBATTEN, UK","      0.0","","       0.0","E","       169","E","       101","E","         3","E","         0","E","        26","E","         0","E","         8","E","         0","E","   -4.5","E,0322, ","  48.0"," ,E,0920, ","   24.1","E,0603, ","-1.8","E,1111","-4.0","E,1208","","","-4.5","E,0322","-4.5","E,0322","-4.5","E,0322","","","    2741.8","8","    2741.8","E","    949.9"," ,E","     10.47","E","     13.41","E","      7.52","E"
