"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105889","1961","56.0039","-2.5258","23.0","DUNBAR, UK","      2.5","","       2.5","E","       163","E","        68","E","         2","E","         0","E","        30","E","         0","E","         9","E","         0","E","   -8.3","E,1227, ","  59.7"," ,E,0808, ","   26.7","E,0828, ","-0.6","E,1128","-4.4","E,1204","-4.4","E,1204","-8.3","E,1227","-0.6","E,0404","-3.9","E,0116","","","","","","","","","","","    564.6"," ,E","      9.44","E","     12.42","E","      6.47","E"
"UKE00105889","1962","56.0039","-2.5258","23.0","DUNBAR, UK","      0.0","","       0.0","E","       154","E","        53","E","         3","E","         0","E","        43","E","         0","E","         5","E","         0","E","   -5.0","E,0104, ","  34.3"," ,E,1116, ","   23.9","E,0607, ","-2.8","E,1116","-2.8","E,1116","-4.4","E,1121","","","0.0","E,0401","-3.9","E,0315","-4.4","E,0306","","","","","    3454.8","8","    3454.8","E","    535.3"," ,E","      8.36","E","     11.27","E","      5.45","E"
"UKE00105889","1963","56.0039","-2.5258","23.0","DUNBAR, UK","      0.3","","       0.3","E","       180","E","        76","E","         2","E","         0","E","        54","E","         0","E","         5","E","         0","E","   -7.2","E,1224,+","  46.7"," ,E,0804, ","   26.1","E,0729, ","-1.1","E,1115","-2.2","E,1130","-4.4","E,1220","-7.2","E,1224","-0.6","E,0404","-6.1","E,0304","-6.1","E,0304","-7.2","E,0225","","","    3712.0","0","    3712.0","E","    701.5"," ,E","      8.05","E","     10.92","E","      5.18","E"
"UKE00105889","1964","56.0039","-2.5258","23.0","DUNBAR, UK","      0.0","","       0.0","E","       152","E","        53","E","         1","E","         0","E","        26","E","         0","E","         7","E","         0","E","   -4.4","E,1226, ","  29.2"," ,E,1010, ","   24.4","E,0803, ","-1.7","E,1109","-2.8","E,1110","-4.4","E,1226","","","0.0","E,0320","-2.8","E,0307","","","","","","","    3399.0","0","    3399.0","E","    444.0"," ,E","      8.92","E","     11.91","E","      5.94","E"
"UKE00105889","1965","56.0039","-2.5258","23.0","DUNBAR, UK","      0.0","","       0.0","E","       176","E","        70","E","         2","E","         0","E","        41","E","         0","E","         3","E","         0","E","   -6.7","E,0302, ","  28.4"," ,E,0903, ","   21.7","E,0811,+","-1.1","E,1115","-3.3","E,1227","","","","","-1.7","E,0311","-2.2","E,0304","-6.7","E,0302","-6.7","E,0302","","","    3372.9","9","    3372.9","E","    596.2"," ,E","      8.23","E","     11.01","E","      5.45","E"
"UKE00105889","1966","56.0039","-2.5258","23.0","DUNBAR, UK","      0.0","","       0.0","E","       181","E","        77","E","         3","E","         0","E","        37","E","         0","E","         2","E","         0","E","   -5.6","E,0215, ","  71.4"," ,E,0803, ","   21.7","E,0721,+","0.0","E,1110","-3.3","E,1214","","","","","-0.6","E,0416","-5.6","E,0215","-5.6","E,0215","","","","","    3508.0","0","    3508.0","E","    687.8"," ,E","      8.59","E","     11.34","E","      5.84","E"
"UKE00105889","1967","56.0039","-2.5258","23.0","DUNBAR, UK","      0.0","","       0.0","E","       176","E","        69","E","         1","E","         0","E","        26","E","         0","E","         7","E","         0","E","   -4.4","E,1220, ","  27.2"," ,E,0511, ","   23.9","E,0821, ","-0.6","E,1120","-2.2","E,1208","-4.4","E,1220","","","-0.6","E,0422","-2.8","E,0106","","","","","","","    3348.0","0","    3348.0","E","    585.6"," ,E","      9.09","E","     12.04","E","      6.13","E"
"UKE00105889","1968","56.0039","-2.5258","23.0","DUNBAR, UK","","","","","       172","E","        91","E","         0","E","         0","E","        50","E","","","","","","","   -4.4","E,0221,+","  23.6"," ,E,0505, ","","","-1.7","E,1104","-2.2","E,1214","","","","","-0.6","E,0414","-3.3","E,0403","-4.4","E,0221","","","","","","","","","    674.6"," ,E","","","","","      5.70","E"
"UKE00105889","1969","56.0039","-2.5258","23.0","DUNBAR, UK","      7.4","","       7.4","E","       162","E","        61","E","         0","E","         0","E","        60","E","         0","E","        22","E","         0","E","   -8.9","E,0217,+","  24.1"," ,E,1122, ","   27.2","E,0715,+","0.0","E,1105","-2.8","E,1118","-6.1","E,1213","","","0.0","E,0419","-2.8","E,0309","-7.8","E,0218","-7.8","E,0218","-8.9","E,0217","    3556.6","6","    3556.6","E","    553.3"," ,E","      8.52","E","     11.60","E","      5.44","E"
"UKE00105889","1970","56.0039","-2.5258","23.0","DUNBAR, UK","","","","","       185","E","        69","E","         3","E","","","","","         1","E","         8","E","         0","E","","","  34.5"," ,E,1120, ","   23.9","E,0620, ","","","","","","","","","","","","","","","","","","","    3418.5","5","    3418.5","E","    571.3"," ,E","","","     11.49","E","",""
"UKE00105889","1971","56.0039","-2.5258","23.0","DUNBAR, UK","","","","","       133","E","        55","E","         1","E","","","","","","","","","","","","","  25.6"," ,E,0803, ","","","","","","","","","","","","","","","","","","","","","","","","","    439.2"," ,E","","","","","",""
"UKE00105889","1972","56.0039","-2.5258","23.0","DUNBAR, UK","      0.0","","       0.0","E","       157","E","        58","E","         0","E","         0","E","        26","E","         0","E","         0","E","         0","E","   -8.5","E,0131, ","  14.9"," ,E,0203, ","   21.0","E,0823,+","-0.2","E,1114","-2.5","E,1118","","","","","-0.1","E,0328","-2.4","E,0213","-7.5","E,0201","-7.5","E,0201","","","    3166.4","4","    3166.4","E","    396.1"," ,E","      8.74","E","     11.87","E","      5.61","E"
"UKE00105889","1973","56.0039","-2.5258","23.0","DUNBAR, UK","      0.9","","       0.9","E","       128","E","        48","E","         0","E","         0","E","        41","E","         0","E","        21","E","         0","E","   -6.4","E,0215, ","  18.1"," ,E,0120, ","   24.8","E,0704, ","-0.3","E,1018","-2.2","E,1126","-5.5","E,1201","","","-1.9","E,0429","-2.7","E,0315","-6.4","E,0215","","","","","    3340.0","0","    3340.0","E","    401.5"," ,E","      8.98","E","     12.21","E","      5.76","E"
"UKE00105889","1974","56.0039","-2.5258","23.0","DUNBAR, UK","      0.0","","       0.0","E","       170","E","        61","E","         1","E","         0","E","        17","E","         0","E","         5","E","         0","E","   -2.7","E,1213, ","  32.8"," ,E,1121, ","   22.0","E,0805, ","-0.5","E,1118","-2.7","E,1213","","","","","0.0","E,0420","-2.4","E,0103","","","","","","","    3288.4","4","    3288.4","E","    508.7"," ,E","      8.88","E","     11.88","E","      5.89","E"
"UKE00105889","1975","56.0039","-2.5258","23.0","DUNBAR, UK","      7.6","","       7.6","E","       139","E","        51","E","         1","E","         0","E","        24","E","         0","E","        23","E","         0","E","   -3.7","E,0228, ","  29.9"," ,E,0508, ","   26.5","E,0606, ","-0.9","E,1114","","","","","","","-1.1","E,0410","-2.5","E,0301","","","","","","","    3404.0","0","    3404.0","E","    512.5"," ,E","      9.22","E","     12.24","E","      6.19","E"
"UKE00105889","1976","56.0039","-2.5258","23.0","DUNBAR, UK","      7.0","","       7.0","E","       145","E","        68","E","         0","E","         0","E","        27","E","         0","E","        23","E","         0","E","   -4.5","E,1203, ","  25.3"," ,E,1015, ","   26.6","E,0607, ","-0.5","E,1201","-4.5","E,1203","-4.5","E,1203","","","-1.4","E,0428","","","","","","","","","    3160.9","9","    3160.9","E","    548.1"," ,E","      9.28","E","     12.19","E","      6.37","E"
"UKE00105889","1977","56.0039","-2.5258","23.0","DUNBAR, UK","      0.9","","       0.9","E","       153","E","        71","E","         1","E","         0","E","        30","E","         0","E","         9","E","         0","E","   -6.0","E,0114, ","  27.9"," ,E,1030, ","   24.5","E,0731, ","-0.5","E,1117","-2.5","E,1128","","","","","-1.0","E,0409","-3.0","E,0129","-6.0","E,0114","","","","","    3430.4","4","    3430.4","E","    602.3"," ,E","      8.73","E","     11.66","E","      5.79","E"
"UKE00105889","1978","56.0039","-2.5258","23.0","DUNBAR, UK","","","","","       171","E","        78","E","         0","E","         0","E","        44","E","         1","E","         6","E","         0","E","   -7.3","E,0211, ","  23.9"," ,E,0427, ","   23.0","E,0818,+","-0.2","E,1126","-2.5","E,1129","","","","","0.0","E,0415","-3.0","E,0222","-6.5","E,0218","-6.9","E,0217","","","    3404.6","6","    3404.6","E","    675.8"," ,E","      8.69","E","     11.50","E","      5.88","E"
"UKE00105889","1979","56.0039","-2.5258","23.0","DUNBAR, UK","      0.0","","       0.0","E","       170","E","        71","E","         0","E","         0","E","        60","E","         0","E","         7","E","         0","E","   -6.5","E,0101, ","  22.9"," ,E,1207, ","   24.5","E,0619, ","-1.0","E,1110","-2.4","E,1113","","","","","-1.0","E,0504","-2.2","E,0322","-4.5","E,0215","","","","","","","","","    587.9"," ,E","      8.21","E","     11.28","E","      5.14","E"
"UKE00105889","1980","56.0039","-2.5258","23.0","DUNBAR, UK","      2.4","","       2.4","E","       173","E","        81","E","         1","E","         0","E","        37","E","         0","E","         6","E","         0","E","   -4.0","E,0322, ","  46.7"," ,E,0829, ","   28.5","E,0603, ","-1.7","E,1020","","","","","","","-0.4","E,0426","-4.0","E,0322","","","","","","","    3338.9","9","    3338.9","E","    682.9"," ,E","      8.76","E","     11.70","E","      5.83","E"
"UKE00105889","1981","56.0039","-2.5258","23.0","DUNBAR, UK","      0.4","","       0.4","E","       163","E","        70","E","         2","E","         0","E","        63","E","         0","E","        13","E","         0","E","   -8.5","E,1212, ","  33.1"," ,E,1001, ","   24.7","E,0810, ","-0.2","E,1014","-3.5","E,1208","-4.8","E,1210","-6.9","E,1211","-0.7","E,0505","-3.5","E,0423","","","","","","","    3300.9","9","    3300.9","E","    563.8"," ,E","      8.41","E","     11.80","E","      5.02","E"
"UKE00105889","1982","56.0039","-2.5258","23.0","DUNBAR, UK","      2.1","","       2.1","E","       151","E","        68","E","         3","E","         0","E","        39","E","         2","E","         9","E","         0","E","  -12.0","E,0111, ","  36.2"," ,E,0626, ","   25.5","E,0708, ","0.0","E,1115","-2.5","E,1212","","","","","0.0","E,0502","-3.0","E,0220","-8.3","E,0116","-8.3","E,0116","-10.8","E,0112","    3428.8","8","    3428.8","E","    653.4"," ,E","      8.94","E","     12.31","E","      5.57","E"
"UKE00105889","1983","56.0039","-2.5258","23.0","DUNBAR, UK","      2.6","","       2.6","E","       175","E","        65","E","         2","E","         0","E","        40","E","         0","E","        20","E","         0","E","   -4.8","E,0219, ","  27.5"," ,E,0601, ","   26.2","E,0813, ","-1.0","E,1021","-4.2","E,1122","","","","","0.0","E,0418","-3.5","E,0224","-4.8","E,0219","","","","","    3432.3","3","    3432.3","E","    585.4"," ,E","      8.99","E","     12.07","E","      5.91","E"
"UKE00105889","1984","56.0039","-2.5258","23.0","DUNBAR, UK","      2.2","","       2.2","E","       156","E","        72","E","         1","E","         0","E","        32","E","         0","E","        22","E","         0","E","   -6.0","E,0126,+","  32.5"," ,E,1103, ","   25.4","E,0819, ","-0.4","E,1106","","","","","","","-0.4","E,0405","-2.5","E,0220","-6.0","E,0126","","","","","    3362.6","6","    3362.6","E","    654.7"," ,E","      8.98","E","     12.20","E","      5.77","E"
"UKE00105889","1987","56.0039","-2.5258","23.0","DUNBAR, UK","      0.0","","       0.0","E","       163","E","        79","E","         0","E","         0","E","        41","E","         2","E","         6","E","         0","E","   -5.6","E,0201, ","  23.6"," ,E,0101, ","   23.5","E,0815, ","-1.8","E,1127","-2.5","E,1208","","","","","-1.2","E,0322","-5.3","E,0321","-5.3","E,0321","","","","","    3551.0","0","    3551.0","E","    629.1"," ,E","      8.52","E","     11.56","E","      5.49","E"
"UKE00105889","1988","56.0039","-2.5258","23.0","DUNBAR, UK","      0.0","","       0.0","E","       155","E","        76","E","         0","E","         0","E","        19","E","         0","E","         9","E","         0","E","   -4.5","E,0314, ","  16.7"," ,E,0315, ","   24.7","E,0906, ","-1.0","E,1029","","","","","","","-2.5","E,0413","-2.5","E,0413","-4.5","E,0314","","","","","    3237.0","0","    3237.0","E","    549.5"," ,E","      9.21","E","     12.33","E","      6.10","E"
"UKE00105889","1989","56.0039","-2.5258","23.0","DUNBAR, UK","      1.7","","       1.7","E","       124","E","        45","E","         0","E","         0","E","        26","E","         0","E","        28","E","         0","E","   -3.7","E,0317, ","  21.2"," ,E,1216, ","   26.7","E,0724, ","-0.3","E,1123","","","","","","","-0.9","E,0426","-2.6","E,0424","","","","","","","    3061.8","8","    3061.8","E","    365.8"," ,E","      9.59","E","     13.05","E","      6.14","E"
"UKE00105889","1990","56.0039","-2.5258","23.0","DUNBAR, UK","      9.3","","       9.3","E","       157","E","        63","E","         3","E","         0","E","         8","E","         0","E","        20","E","         0","E","   -2.5","E,0408, ","  65.2"," ,E,1006, ","   31.0","E,0801, ","-0.9","E,1122","","","","","","","-2.5","E,0408","-2.5","E,0408","","","","","","","    2980.7","7","    2980.7","E","    603.3"," ,E","      9.85","E","     13.16","E","      6.53","E"
"UKE00105889","1991","56.0039","-2.5258","23.0","DUNBAR, UK","      1.0","","       1.0","E","       151","E","        71","E","         0","E","         0","E","        39","E","         0","E","        19","E","         0","E","   -4.4","E,1212, ","  20.7"," ,E,0221, ","   25.2","E,0828, ","-0.3","E,1114","-3.7","E,1210","-4.4","E,1212","","","-0.1","E,0415","-2.2","E,0214","","","","","","","    3284.9","9","    3284.9","E","    502.6"," ,E","      8.98","E","     12.10","E","      5.87","E"
"UKE00105889","1992","56.0039","-2.5258","23.0","DUNBAR, UK","      2.0","","       2.0","E","       161","E","        70","E","         1","E","         0","E","        34","E","         0","E","        17","E","         0","E","   -6.5","E,1230, ","  40.5"," ,E,0331, ","   25.8","E,0612, ","-0.2","E,1026","-2.2","E,1114","-4.8","E,1229","","","-0.3","E,0413","-3.6","E,0219","-4.5","E,0124","","","","","    3059.9","9","    3059.9","E","    592.2"," ,E","      9.07","E","     12.34","E","      5.80","E"
"UKE00105889","1993","56.0039","-2.5258","23.0","DUNBAR, UK","      0.0","","       0.0","E","       154","E","        67","E","         0","E","         0","E","        28","E","         0","E","         6","E","         0","E","   -6.2","E,1124, ","  23.4"," ,E,1009, ","   23.2","E,0831,+","-1.2","E,1016","-2.3","E,1120","-6.2","E,1124","","","-1.3","E,0326","","","","","","","","","    3314.5","5","    3314.5","E","    607.3"," ,E","      8.70","E","     11.79","E","      5.60","E"
"UKE00105889","1994","56.0039","-2.5258","23.0","DUNBAR, UK","","","","","       161","E","        60","E","         0","E","         0","E","        26","E","         0","E","        19","E","         0","E","   -4.7","E,0217, ","  20.0"," ,E,0105, ","   27.7","E,0729, ","-1.0","E,1130","-3.3","E,1222","","","","","-0.1","E,0411","-4.7","E,0217","-4.7","E,0217","","","","","    3568.2","2","    3568.2","E","    482.6"," ,E","      9.16","E","     12.31","E","      6.01","E"
"UKE00105889","1995","56.0039","-2.5258","23.0","DUNBAR, UK","      7.5","","       7.5","E","       153","E","        56","E","         2","E","         0","E","        36","E","         2","E","        24","E","         0","E","   -8.8","E,1229, ","  30.1"," ,E,1115, ","   27.3","E,0724, ","-2.8","E,1208","-2.8","E,1208","-6.2","E,1221","-6.8","E,1227","-0.1","E,0428","-3.4","E,0329","-4.6","E,0209","","","","","","","","","    557.6"," ,E","      9.41","E","     12.74","E","      6.08","E"
"UKE00105889","1996","56.0039","-2.5258","23.0","DUNBAR, UK","      1.0","","       1.0","E","       150","E","        52","E","         1","E","         0","E","        29","E","         1","E","        24","E","         0","E","   -3.6","E,1206, ","  38.3"," ,E,1203, ","   28.0","E,0817, ","-1.6","E,1111","-3.0","E,1128","","","","","-0.1","E,0324","-2.5","E,0226","","","","","","","    3130.7","7","    3130.7","E","    427.5"," ,E","      9.06","E","     12.10","E","      6.02","E"
"UKE00105889","1997","56.0039","-2.5258","23.0","DUNBAR, UK","     14.1","","      14.1","E","       146","E","        69","E","         1","E","         0","E","        13","E","         0","E","        19","E","         0","E","   -2.1","E,0205, ","  38.0"," ,E,0630, ","   28.7","E,0807, ","-1.8","E,1029","","","","","","","-0.2","E,0404","","","","","","","","","    3096.8","8","    3096.8","E","    564.7"," ,E","      9.94","E","     13.13","E","      6.75","E"
"UKE00105889","1998","56.0039","-2.5258","23.0","DUNBAR, UK","      0.0","","       0.0","E","       171","E","        75","E","         2","E","         0","E","        20","E","         0","E","         6","E","         0","E","   -3.8","E,1206, ","  29.6"," ,E,0712, ","   23.0","E,0702, ","-0.1","E,1018","-3.8","E,1206","","","","","-0.2","E,0415","-2.7","E,0414","","","","","","","    2888.9","9","    2888.9","E","    659.6"," ,E","      9.56","E","     12.66","E","      6.46","E"
