"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105931","1960","55.8389","-5.0639","43.0","BUTE ROTHESAY, UK","","","","","","","","","","","         0","E","        26","E","","","","","","","   -5.6","E,0219, ","","","","","-1.1","E,1211","","","","","-1.7","E,0309","-5.6","E,0219","-5.6","E,0219","","","","","","","","","","","","","      6.32","E"
"UKE00105931","1961","55.8389","-5.0639","43.0","BUTE ROTHESAY, UK","      0.0","","       0.0","E","       258","E","       155","E","         7","E","         0","E","        25","E","         0","E","         1","E","         0","E","   -5.0","E,1231, ","  58.2"," ,E,0808, ","   22.2","E,0828, ","0.0","E,1128","-2.8","E,1204","-5.0","E,1231","-0.6","E,0404","-2.2","E,0111","","","","","","","","","   1560.3"," ,E","      9.09","E","     11.81","E","      6.37","E"
"UKE00105931","1962","55.8389","-5.0639","43.0","BUTE ROTHESAY, UK","      0.0","","       0.0","E","       235","E","       142","E","        11","E","         0","E","        34","E","         0","E","         3","E","         0","E","   -3.3","E,0314,+","  34.0"," ,E,1207, ","   23.3","E,0712, ","0.0","E,1026","-2.8","E,1229","","","-0.6","E,0401","-2.2","E,0315","","","","","    3510.9","9","    3510.9","E","   1500.7"," ,E","      8.45","E","     11.42","E","      5.49","E"
"UKE00105931","1963","55.8389","-5.0639","43.0","BUTE ROTHESAY, UK","      0.0","","       0.0","E","       210","E","       133","E","         0","E","         0","E","        49","E","         0","E","        13","E","         0","E","   -5.0","E,0113, ","  24.9"," ,E,0925, ","   25.6","E,0604, ","-0.6","E,1117","-2.8","E,1219","","","-0.6","E,0413","-2.2","E,0219","-5.0","E,0113","","","    3560.9","9","    3560.9","E","   1166.0"," ,E","      8.42","E","     11.25","E","      5.59","E"
"UKE00105931","1964","55.8389","-5.0639","43.0","BUTE ROTHESAY, UK","","","","","       226","E","       127","E","         5","E","         0","E","        15","E","","","","","","","   -3.9","E,1226, ","  31.2"," ,E,0817, ","","","0.0","E,1110","-2.2","E,1225","","","0.0","E,0318","","","","","","","    3321.2","2","    3321.2","E","   1262.8"," ,E","","","","","      6.39","E"
"UKE00105931","1965","55.8389","-5.0639","43.0","BUTE ROTHESAY, UK","      0.8","","       0.8","E","       202","E","       132","E","        10","E","         0","E","        41","E","         0","E","         4","E","         0","E","   -4.4","E,0302, ","  45.7"," ,E,0804, ","   22.8","E,0811, ","-0.6","E,1121","-2.8","E,1227","","","0.0","E,0325","-2.2","E,0304","-4.4","E,0302","","","","","","","   1413.4"," ,E","      8.41","E","     11.25","E","      5.57","E"
"UKE00105931","1966","55.8389","-5.0639","43.0","BUTE ROTHESAY, UK","      0.6","","       0.6","E","       232","E","       148","E","         5","E","         0","E","        32","E","         0","E","         3","E","         0","E","   -6.1","E,0118, ","  47.5"," ,E,0909, ","   25.0","E,0720, ","0.0","E,1111","-2.2","E,1225","","","-0.6","E,0417","-2.8","E,0215","-6.1","E,0118","","","    3491.9","9","    3491.9","E","   1412.0"," ,E","      8.54","E","     11.21","E","      5.86","E"
"UKE00105931","1967","55.8389","-5.0639","43.0","BUTE ROTHESAY, UK","      0.0","","       0.0","E","       249","E","       167","E","         3","E","         0","E","        18","E","         0","E","         4","E","         0","E","   -3.9","E,1209, ","  31.2"," ,E,1220, ","   22.2","E,0616, ","-1.1","E,1207","-3.3","E,1208","","","-0.6","E,0331","","","","","","","    3384.7","7","    3384.7","E","   1498.4"," ,E","      9.00","E","     11.71","E","      6.29","E"
"UKE00105931","1968","55.8389","-5.0639","43.0","BUTE ROTHESAY, UK","","","","","       183","E","       118","E","         7","E","","","","","","","","","","","","","  57.2"," ,E,1121, ","","","","","","","","","","","","","","","","","    3372.3","3","    3372.3"," ","   1279.0"," ,E","","","","","",""
"UKE00105931","1969","55.8389","-5.0639","43.0","BUTE ROTHESAY, UK","","","","","       212","E","       126","E","         1","E","         0","E","        37","E","         1","E","        13","E","         0","E","   -5.0","E,0216,+","  26.9"," ,E,1001, ","   23.9","E,0714,+","0.0","E,1116","-2.2","E,1128","","","0.0","E,0402","-2.2","E,0217","-5.0","E,0216","","","","","","","   1081.3"," ,E","      8.69","E","     11.59","E","      5.80","E"
