"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105872","1960","50.4367","-4.9989","103.0","ST MAWGAN, UK","      2.0","","       2.0","E","       211","E","       127","E","         5","E","         0","E","        24","E","         0","E","         9","E","         0","E","   -3.9","E,0114, ","  31.5"," ,E,0401, ","   25.6","E,0603, ","0.0","E,1207","-2.8","E,1211","","","","","-1.7","E,0218","-2.8","E,0217","","","","","","","","","","","   1252.3"," ,E","     10.48","E","     13.32","E","      7.65","E"
"UKE00105872","1961","50.4367","-4.9989","103.0","ST MAWGAN, UK","      4.0","","       4.0","E","       175","E","       113","E","         3","E","         0","E","        12","E","         0","E","         9","E","         0","E","   -4.6","E,1228, ","  31.3"," ,E,1006, ","   26.1","E,0901, ","-1.8","E,1207","-4.6","E,1228","-4.6","E,1228","","","-1.7","E,0320","","","","","","","","","    2752.4","4","    2752.4","E","    919.9"," ,E","     10.80","E","     13.55","E","      8.04","E"
"UKE00105872","1962","50.4367","-4.9989","103.0","ST MAWGAN, UK","      0.0","","       0.0","E","       172","E","        92","E","         2","E","         0","E","        36","E","         2","E","         2","E","         0","E","   -6.7","E,1225, ","  41.7"," ,E,0929, ","   22.1","E,0830, ","0.0","E,1118","-5.8","E,1224","-5.8","E,1224","-6.7","E,1225","-2.3","E,0325","-2.3","E,0325","-4.8","E,0305","","","","","    2949.8","8","    2949.8","E","    833.5"," ,E","      9.49","E","     12.43","E","      6.55","E"
"UKE00105872","1963","50.4367","-4.9989","103.0","ST MAWGAN, UK","      1.7","","       1.7","E","       194","E","       121","E","         0","E","         0","E","        57","E","         4","E","        14","E","         0","E","   -7.8","E,0112, ","  24.7"," ,E,1118, ","   24.5","E,0729, ","0.0","E,1213","-2.7","E,1215","","","","","-1.0","E,0324","-2.6","E,0225","-5.2","E,0203","-7.7","E,0120","","","    3238.1","1","    3238.1","E","   1053.9"," ,E","      9.25","E","     11.99","E","      6.49","E"
"UKE00105872","1964","50.4367","-4.9989","103.0","ST MAWGAN, UK","      0.0","","       0.0","E","       166","E","        90","E","         1","E","         0","E","        23","E","         0","E","        10","E","         0","E","   -4.5","E,1229, ","  25.9"," ,E,0714, ","   22.9","E,0530, ","0.0","E,1109","-3.9","E,1228","-4.5","E,1229","","","-0.6","E,0310","-4.4","E,0309","-4.4","E,0309","","","","","    3005.5","5","    3005.5","E","    739.2"," ,E","     10.21","E","     12.97","E","      7.45","E"
"UKE00105872","1965","50.4367","-4.9989","103.0","ST MAWGAN, UK","      0.0","","       0.0","E","       199","E","       115","E","         2","E","         0","E","        33","E","         0","E","         3","E","         0","E","   -8.5","E,0303, ","  39.6"," ,E,0711, ","   23.0","E,0811, ","-1.0","E,1115","-2.5","E,1228","","","","","-1.9","E,0308","-2.5","E,0307","-8.5","E,0303","-8.5","E,0303","","","    2947.1","1","    2947.1","E","   1067.9"," ,E","      9.77","E","     12.61","E","      6.92","E"
"UKE00105872","1966","50.4367","-4.9989","103.0","ST MAWGAN, UK","      0.0","","       0.0","E","       207","E","       114","E","         5","E","         0","E","        12","E","         1","E","         6","E","         0","E","   -5.4","E,0116, ","  34.9"," ,E,1014, ","   23.1","E,0609, ","-0.5","E,1103","","","","","","","-1.2","E,0213","-3.6","E,0117","-5.4","E,0116","","","","","    2804.7","7","    2804.7","E","   1056.9"," ,E","     10.70","E","     13.52","E","      7.88","E"
"UKE00105872","1967","50.4367","-4.9989","103.0","ST MAWGAN, UK","      2.0","","       2.0","E","       209","E","       114","E","         3","E","         0","E","        11","E","         0","E","         8","E","         0","E","   -4.4","E,0109, ","  40.3"," ,E,1104, ","   26.6","E,0711, ","-0.6","E,1117","","","","","","","-0.5","E,0401","-2.4","E,0214","-4.4","E,0109","","","","","    2799.8","8","    2799.8","E","   1052.2"," ,E","     10.40","E","     13.16","E","      7.63","E"
"UKE00105872","1968","50.4367","-4.9989","103.0","ST MAWGAN, UK","      0.8","","       0.8","E","       179","E","        97","E","         1","E","         0","E","        32","E","         0","E","         9","E","         0","E","   -5.1","E,0110, ","  28.1"," ,E,0701, ","   23.9","E,0630, ","-0.4","E,1104","-2.4","E,1214","","","","","0.0","E,0412","-2.4","E,0301","-4.6","E,0111","","","","","    2989.9","9","    2989.9","E","    972.9"," ,E","     10.06","E","     12.94","E","      7.19","E"
"UKE00105872","1969","50.4367","-4.9989","103.0","ST MAWGAN, UK","      4.1","","       4.1","E","       184","E","       107","E","         4","E","         0","E","        29","E","         0","E","        15","E","         0","E","   -8.5","E,0216, ","  71.0"," ,E,0728, ","   26.3","E,0714, ","-0.9","E,1130","-2.3","E,1231","","","","","-0.1","E,0404","-5.5","E,0218","-5.5","E,0218","-7.2","E,0217","","","    2909.4","4","    2909.4","E","    969.4"," ,E","     10.15","E","     13.07","E","      7.23","E"
"UKE00105872","1970","50.4367","-4.9989","103.0","ST MAWGAN, UK","      1.8","","       1.8","E","       195","E","       119","E","         1","E","         0","E","        34","E","         1","E","        17","E","         0","E","   -3.9","E,1231, ","  25.7"," ,E,1101, ","   24.3","E,0606, ","-1.6","E,1222","-2.8","E,1226","","","","","-0.5","E,0409","-2.2","E,0308","","","","","","","    2856.2","2","    2856.2","E","    999.2"," ,E","     10.28","E","     12.93","E","      7.64","E"
"UKE00105872","1971","50.4367","-4.9989","103.0","ST MAWGAN, UK","      6.3","","       6.3","E","       165","E","       104","E","         2","E","         0","E","        13","E","         0","E","        21","E","         0","E","   -5.3","E,0307, ","  43.3"," ,E,1129, ","   26.1","E,0707, ","-0.4","E,1125","","","","","","","-3.5","E,0308","-3.5","E,0308","-5.3","E,0307","","","","","    2818.1","1","    2818.1","E","    938.7"," ,E","     10.69","E","     13.76","E","      7.61","E"
