"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105919","1960","50.7808","0.6758","7.0","BOGNOR REGIS, UK","      3.1","","       3.1","E","       188","E","       110","E","         7","E","         0","E","        23","E","         0","E","         9","E","         0","E","   -6.7","E,0114, ","  47.2"," ,E,0707, ","   26.7","E,0625, ","0.0","E,1207","","","","","","","","","-0.6","E,0320","-3.3","E,0217","-6.7","E,0114","-6.7","E,0114","","","","","","","   1099.6"," ,E","     10.49","E","     13.22","E","      7.76","E"
"UKE00105919","1961","50.7808","0.6758","7.0","BOGNOR REGIS, UK","","","","","       136","E","        72","E","         2","E","         0","E","        22","E","","","","","","","   -5.0","E,1225, ","  47.5"," ,E,0129, ","","","-0.6","E,1124","-2.2","E,1207","-5.0","E,1225","","","","","-1.1","E,0320","","","","","","","","","    2664.8","8","    2664.8","E","    725.5"," ,E","","","","","      7.93","E"
"UKE00105919","1962","50.7808","0.6758","7.0","BOGNOR REGIS, UK","","","","","       135","E","        73","E","         0","E","         0","E","        43","E","","","","","","","   -6.7","E,0101, ","  24.4"," ,E,1025, ","","","0.0","E,1114","-2.2","E,1116","-4.4","E,1224","","","","","-2.8","E,0325","-2.8","E,0325","-6.7","E,0101","-6.7","E,0101","","","","","","","    594.4"," ,E","","","","","      6.43","E"
"UKE00105919","1963","50.7808","0.6758","7.0","BOGNOR REGIS, UK","","","","","       158","E","        90","E","         0","E","","","","","        15","E","        16","E","         0","E","","","  21.6"," ,E,0415, ","   26.1","E,0721, ","","","","","","","","","","","","","","","","","","","","","    3469.8","8","    3469.8"," ","    691.4"," ,E","","","     11.55","E","",""
"UKE00105919","1964","50.7808","0.6758","7.0","BOGNOR REGIS, UK","      8.6","","       8.6","E","       137","E","        80","E","         3","E","         0","E","        35","E","         0","E","        22","E","         0","E","   -5.6","E,1229, ","  39.9"," ,E,0314, ","   23.9","E,0801, ","-0.1","E,1129","-4.4","E,1226","-4.4","E,1226","","","","","-0.6","E,0407","-2.2","E,0309","","","","","","","","","","","    740.0"," ,E","     10.03","E","     12.87","E","      7.19","E"
"UKE00105919","1965","50.7808","0.6758","7.0","BOGNOR REGIS, UK","      0.0","","       0.0","E","       167","E","        93","E","         3","E","         0","E","        47","E","         0","E","         4","E","         0","E","   -6.1","E,1228,+","  43.9"," ,E,0802, ","   22.2","E,0811, ","-0.1","E,1113","-2.2","E,1114","-6.1","E,1228","","","","","-0.1","E,0329","-2.2","E,0308","-4.4","E,0307","","","","","    2987.0","0","    2987.0","E","    921.6"," ,E","      9.51","E","     12.49","E","      6.54","E"
"UKE00105919","1966","50.7808","0.6758","7.0","BOGNOR REGIS, UK","","","","","       185","E","        96","E","         4","E","","","","","         2","E","        12","E","         0","E","","","  42.9"," ,E,0806, ","   25.6","E,0608, ","","","","","","","","","","","","","","","","","","","","","","","","","    907.5"," ,E","","","     13.20","E","",""
"UKE00105919","1967","50.7808","0.6758","7.0","BOGNOR REGIS, UK","","","","","       165","E","        86","E","         2","E","         0","E","        33","E","","","","","","","   -8.3","E,1209, ","  29.0"," ,E,1101, ","","","-0.1","E,1117","-2.2","E,1208","-8.3","E,1209","-8.3","E,1209","","","-0.6","E,0503","-2.2","E,0214","-4.4","E,0109","","","","","","","","","    779.7"," ,E","","","","","      7.36","E"
"UKE00105919","1968","50.7808","0.6758","7.0","BOGNOR REGIS, UK","","","","","       154","E","        73","E","         0","E","         0","E","        44","E","","","","","","","   -4.4","E,1215,+","  24.9"," ,E,1011, ","","","-0.6","E,1109","-4.4","E,1214","-4.4","E,1214","","","","","-1.1","E,0409","-2.2","E,0229","-4.4","E,0110","","","","","","","","","    669.2"," ,E","","","","","      7.29","E"
"UKE00105919","1969","50.7808","0.6758","7.0","BOGNOR REGIS, UK","","","","","       145","E","        74","E","         1","E","         0","E","        45","E","","","","","","","   -6.1","E,0208, ","  33.3"," ,E,0706, ","","","-0.6","E,1106","-3.3","E,1129","","","","","","","-0.1","E,0418","-2.8","E,0308","-4.4","E,0217","","","","","    2875.8","8","    2875.8","E","    663.6"," ,E","","","","","      7.11","E"
