"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00115807","2007","57.0108","-3.3958","327.0","BRAEMAR 1, UK","      0.0","","       0.0","E","","","","","","","         0","E","        97","E","         3","E","         4","E","         0","E","  -11.4","E,1221, ","","","   22.9","E,0823, ","-2.1","E,0915","-2.3","E,1018","-4.6","E,1211","-9.2","E,1217","-9.2","E,1217","-0.4","E,0614","-2.3","E,0502","-4.9","E,0327","-6.7","E,0323","","","    3670.9","9","    3670.9","E","","","      7.43","E","     11.43","E","      3.42","E"
"UKE00115807","2009","57.0108","-3.3958","327.0","BRAEMAR 1, UK","","","","","       222","E","       103","E","         2","E","","","","","         9","E","        12","E","         0","E","","","  33.2"," ,E,1101, ","   26.3","E,0701, ","","","","","","","","","","","","","","","","","","","","","","","","","    928.6"," ,E","","","     11.07","E","",""
"UKE00115807","2010","57.0108","-3.3958","327.0","BRAEMAR 1, UK","      0.0","","       0.0","E","       189","E","        87","E","         5","E","         9","E","       142","E","        26","E","         9","E","         0","E","  -20.4","E,1203, ","  37.4"," ,E,0907, ","   23.5","E,0521, ","-0.3","E,0831","-2.5","E,0927","-4.8","E,1101","-6.7","E,1127","-14.3","E,1128","-1.7","E,0531","-2.3","E,0518","-6.0","E,0508","-7.0","E,0402","-11.1","E,0310","    4311.5","5","    4311.5","E","    836.4"," ,E","      5.28","E","      9.71","E","      0.86","E"
"UKE00115807","2011","57.0108","-3.3958","327.0","BRAEMAR 1, UK","      0.0","","       0.0","E","       209","E","       113","E","         6","E","         0","E","        98","E","         1","E","         5","E","         0","E","  -10.4","E,0109, ","  34.0"," ,E,0706, ","   24.7","E,0602, ","-2.5","E,1105","-2.5","E,1105","-5.1","E,1106","-7.8","E,1210","","","-0.6","E,0611","-2.7","E,0531","-6.1","E,0504","-7.5","E,0318","-10.4","E,0109","    4241.5","5","    4241.5","E","   1073.4"," ,E","      7.24","E","     11.31","E","      3.16","E"
"UKE00115807","2012","57.0108","-3.3958","327.0","BRAEMAR 1, UK","      0.0","","       0.0","E","       203","E","        86","E","         0","E","         0","E","       111","E","         1","E","        14","E","         0","E","  -12.9","E,1206, ","  23.8"," ,E,1214, ","   26.2","E,0523, ","-2.4","E,0831","-2.4","E,0831","-4.5","E,1008","-7.8","E,1017","-12.9","E,1206","-1.4","E,0604","-2.6","E,0509","-4.6","E,0506","-8.2","E,0405","-9.1","E,0207","    3963.3","3","    3963.3","E","    812.1"," ,E","      6.53","E","     10.59","E","      2.46","E"
"UKE00115807","2013","57.0108","-3.3958","327.0","BRAEMAR 1, UK","      4.3","","       4.3","E","       191","E","        98","E","         3","E","         0","E","       123","E","        10","E","        27","E","         0","E","  -12.9","E,0116, ","  32.0"," ,E,1102, ","   27.2","E,0718,+","-2.4","E,0926","-2.4","E,0926","-4.4","E,1105","-8.1","E,1125","","","-0.6","E,0529","-2.4","E,0517","-4.8","E,0413","-11.2","E,0402","-11.2","E,0402","    4457.5","5","    4457.5","E","    854.8"," ,E","      6.74","E","     10.78","E","      2.69","E"
"UKE00115807","2014","57.0108","-3.3958","327.0","BRAEMAR 1, UK","      1.3","","       1.3","E","       219","E","       136","E","         6","E","         0","E","        82","E","         1","E","        13","E","         0","E","   -8.5","E,1226, ","  49.4"," ,E,0810, ","   26.6","E,0724, ","-2.1","E,0825","-2.5","E,1106","-5.8","E,1209","-8.5","E,1226","","","-1.8","E,0530","-2.4","E,0503","-4.8","E,0420","-6.7","E,0324","","","    3675.2","2","    3675.2","E","   1250.2"," ,E","      7.68","E","     11.58","E","      3.78","E"
"UKE00115807","2015","57.0108","-3.3958","327.0","BRAEMAR 1, UK","","","","","","","","","","","         0","E","       103","E","         2","E","         9","E","         0","E","  -12.0","E,0120, ","","","   26.2","E,0630, ","-1.3","E,0930","-3.9","E,1016","-5.0","E,1017","-6.9","E,1213","","","-1.5","E,0615","-2.4","E,0523","-5.3","E,0508","-6.7","E,0315","-10.6","E,0203","","","","","","","      6.88","E","     11.01","E","      2.76","E"
"UKE00115807","2016","57.0108","-3.3958","327.0","BRAEMAR 1, UK","","","","","       203","E","       106","E","         3","E","         0","E","       110","E","         2","E","        15","E","         0","E","  -14.1","E,0214, ","  41.2"," ,E,0624, ","   24.9","E,0718, ","-2.7","E,1002","-2.7","E,1002","-4.5","E,1025","-7.2","E,1118","-12.1","E,1121","-0.6","E,0523","-2.7","E,0430","-5.3","E,0319","-7.0","E,0229","-9.9","E,0215","","","","","    956.7"," ,E","      6.94","E","     11.18","E","      2.69","E"
"UKE00115807","2017","57.0108","-3.3958","327.0","BRAEMAR 1, UK","      0.0","","       0.0","E","","","","","","","         0","E","       112","E","         1","E","         7","E","         0","E","  -11.9","E,1210, ","","","   24.7","E,0524, ","-0.8","E,0919","-4.5","E,1030","-4.5","E,1030","-11.9","E,1210","-11.9","E,1210","-0.8","E,0608","-3.8","E,0510","-5.0","E,0506","-7.2","E,0322","-10.1","E,0130","    3735.1","1","    3735.1","E","","","      7.20","E","     11.37","E","      3.03","E"
