"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00102158","1960","51.5017","-1.9908","145.0","LYNEHAM, UK","      5.2","","       5.2","E","       194","E","        96","E","         3","E","        9","","         0","E","        55","E","         1","E","        24","E","         0","E","   -7.8","E,0114, ","   190"," ,E,0114, ","  46.5"," ,E,1203, ","   27.2","E,0604, ","-0.6","E,1013","-2.2","E,1108","-5.6","E,1213","","","","","0.0","E,0430","-3.3","E,0218","-5.6","E,0217","-7.8","E,0114","","","","","","","    931.3"," ,E","      9.37","E","     12.98","E","      5.77","E"
"UKE00102158","1961","51.5017","-1.9908","145.0","LYNEHAM, UK","","","","","       148","E","        83","E","         1","E","        0","","","","","","         7","E","        32","E","         0","E","","","    20"," ,E,1231, ","  27.3"," ,E,0612, ","   29.5","E,0828, ","","","","","","","","","","","","","","","","","","","","","    3044.6","6","    3044.6","E","    683.9"," ,E","","","     13.61","E","",""
"UKE00102158","1962","51.5017","-1.9908","145.0","LYNEHAM, UK","      0.3","","       0.3","E","       140","E","        72","E","         2","E","       10","","         0","E","        76","E","        10","E","        12","E","         0","E","   -8.9","E,1226, ","   220"," ,E,1231,+","  72.7"," ,E,0806, ","   25.3","E,0724, ","-2.0","E,1027","-2.2","E,1113","-7.3","E,1205","-7.3","E,1205","-8.9","E,1226","-0.2","E,0501","-2.2","E,0328","-5.0","E,0320","-7.6","E,0103","","","","","","","    663.4"," ,E","      8.20","E","     11.94","E","      4.46","E"
"UKE00102158","1963","51.5017","-1.9908","145.0","LYNEHAM, UK","      1.0","","       1.0","E","       163","E","        85","E","         1","E","       48","","         0","E","        84","E","        29","E","        21","E","         0","E","  -14.8","E,0123, ","   350"," ,E,0105,+","  26.6"," ,E,1117, ","   25.9","E,0729, ","-0.3","E,1121","-2.6","E,1208","-4.8","E,1219","","","","","0.0","E,0412","-3.0","E,0303","-4.8","E,0302","-7.9","E,0225","-10.3","E,0126","    3830.8","8","    3830.8","E","    683.8"," ,E","      7.87","E","     11.29","E","      4.47","E"
"UKE00102158","1964","51.5017","-1.9908","145.0","LYNEHAM, UK","      9.6","","       9.6","E","       129","E","        62","E","         0","E","        2","","         0","E","        62","E","         1","E","        41","E","         0","E","   -9.2","E,0114, ","    40"," ,E,0114,+","  19.8"," ,E,0530, ","   27.3","E,0825, ","0.0","E,1013","-4.2","E,1130","-7.4","E,1216","-7.4","E,1216","","","-0.2","E,0407","-2.9","E,0309","-4.6","E,0207","-9.2","E,0114","-9.2","E,0114","    3275.1","1","    3275.1","E","    477.8"," ,E","      9.14","E","     12.83","E","      5.44","E"
"UKE00102158","1965","51.5017","-1.9908","145.0","LYNEHAM, UK","","","","","       169","E","        94","E","         0","E","        2","","         0","E","        68","E","         2","E","        12","E","         0","E","   -8.0","E,0303, ","    50"," ,E,0305,+","  18.1"," ,E,1107, ","   24.8","E,0811,+","-1.4","E,1103","-4.1","E,1114","-6.5","E,1115","","","","","0.0","E,0402","-2.2","E,0311","-4.5","E,0307","-8.0","E,0303","","","    3253.8","8","    3253.8","E","    738.8"," ,E","      8.67","E","     12.37","E","      4.97","E"
"UKE00102158","1966","51.5017","-1.9908","145.0","LYNEHAM, UK","      3.5","","       3.5","E","       168","E","        80","E","         2","E","        3","","         0","E","        38","E","         6","E","        20","E","         0","E","   -8.9","E,0120, ","    90"," ,E,0415, ","  49.8"," ,E,0821, ","   27.5","E,0608, ","-0.1","E,1026","-2.4","E,1103","","","","","","","0.0","E,0416","-3.1","E,0325","-8.9","E,0120","-8.9","E,0120","-8.9","E,0120","","","","","    775.8"," ,E","      9.35","E","     12.84","E","      5.87","E"
"UKE00102158","1967","51.5017","-1.9908","145.0","LYNEHAM, UK","      5.3","","       5.3","E","       163","E","        95","E","         1","E","        4","","         0","E","        41","E","         1","E","        27","E","         0","E","   -6.9","E,1209, ","    60"," ,E,1210,+","  25.4"," ,E,0227, ","   27.2","E,0716, ","-0.8","E,1109","-2.3","E,1117","-6.9","E,1209","-6.9","E,1209","","","-1.6","E,0503","-3.3","E,0401","-5.7","E,0109","","","","","    3236.3","3","    3236.3","E","    816.7"," ,E","      9.44","E","     12.94","E","      5.95","E"
"UKE00102158","1968","51.5017","-1.9908","145.0","LYNEHAM, UK","","","","","       163","E","        89","E","         1","E","        6","","         0","E","        68","E","         2","E","        21","E","         0","E","   -7.7","E,0110, ","    50"," ,E,0111,+","  90.5"," ,E,0710, ","   29.5","E,0630, ","-3.0","E,1104","-3.0","E,1104","-5.6","E,1109","","","","","-2.5","E,0412","-2.5","E,0412","-4.7","E,0226","-6.9","E,0111","","","","","","","    855.3"," ,E","      9.04","E","     12.49","E","      5.59","E"
"UKE00102158","1969","51.5017","-1.9908","145.0","LYNEHAM, UK","     19.4","","      19.4","E","       141","E","        72","E","         3","E","        3","","         0","E","        71","E","         2","E","        42","E","         0","E","   -7.0","E,0216,+","    60"," ,E,0220, ","  41.2"," ,E,0525, ","   28.8","E,0715, ","-1.2","E,1105","-2.7","E,1118","-4.8","E,1129","","","","","-0.1","E,0429","-3.7","E,0328","-5.0","E,0309","-7.0","E,0216","","","    3203.8","8","    3203.8","E","    615.1"," ,E","      9.13","E","     12.90","E","      5.36","E"
