"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00156876","2013","52.8358","-1.2494","43.0","SUTTON BONINGTON, UK","     46.8","","      46.8","E","       150","E","        69","E","         1","E","         0","E","        62","E","         1","E","        59","E","         0","E","   -6.0","E,0122, ","  39.6"," ,E,0722, ","   31.3","E,0731, ","-0.2","E,1115","","","","","","","-1.8","E,0501","-3.0","E,0407","-4.5","E,0331","","","","","","","","","    554.4"," ,E","      9.80","E","     13.76","E","      5.83","E"
"UKE00156876","2014","52.8358","-1.2494","43.0","SUTTON BONINGTON, UK","     27.2","","      27.2","E","       167","E","        81","E","         1","E","         0","E","        27","E","         0","E","        61","E","         0","E","   -5.6","E,1230, ","  29.8"," ,E,0810, ","   29.1","E,0717, ","-1.6","E,1106","-2.4","E,1125","-5.6","E,1230","","","-1.5","E,0503","-2.8","E,0324","","","","","","","    2610.3","3","    2610.3","E","    630.5"," ,E","     11.07","E","     15.20","E","      6.95","E"
"UKE00156876","2015","52.8358","-1.2494","43.0","SUTTON BONINGTON, UK","     20.7","","      20.7","E","       157","E","        71","E","         1","E","         0","E","        29","E","         0","E","        48","E","         1","E","   -4.6","E,0104, ","  37.2"," ,E,0612, ","   33.6","E,0630, ","-2.8","E,1122","-2.8","E,1122","","","","","-1.3","E,0501","-2.5","E,0309","-4.6","E,0104","","","","","    2812.8","8","    2812.8","E","    582.8"," ,E","     10.54","E","     14.70","E","      6.38","E"
"UKE00156876","2016","52.8358","-1.2494","43.0","SUTTON BONINGTON, UK","     44.6","","      44.6","E","       157","E","        71","E","         3","E","         0","E","        43","E","         0","E","        62","E","         0","E","   -4.7","E,1229, ","  29.2"," ,E,0615, ","   31.3","E,0718, ","0.0","E,1102","-2.9","E,1108","-4.4","E,1129","","","-0.8","E,0501","-3.2","E,0308","-4.6","E,0216","","","","","    2754.9","9","    2754.9","E","    667.2"," ,E","     10.50","E","     14.48","E","      6.51","E"
"UKE00156876","2017","52.8358","-1.2494","43.0","SUTTON BONINGTON, UK","     19.0","","      19.0","E","       159","E","        73","E","         2","E","         0","E","        38","E","         0","E","        50","E","         0","E","   -5.8","E,1213, ","  27.2"," ,E,0808, ","   29.9","E,0618, ","-0.1","E,1030","-5.6","E,1212","-5.6","E,1212","","","-0.5","E,0510","-3.2","E,0206","","","","","","","    2544.1","1","    2544.1","E","    648.2"," ,E","     10.78","E","     14.61","E","      6.95","E"
"UKE00156876","2018","52.8358","-1.2494","43.0","SUTTON BONINGTON, UK","     71.5","","      71.5","E","       133","E","        68","E","         0","E","         0","E","        37","E","         3","E","        88","E","         1","E","   -6.0","E,0301, ","  18.4"," ,E,0409, ","   33.1","E,0725, ","-1.7","E,1029","-2.6","E,1122","","","","","-0.4","E,0329","-2.5","E,0318","-6.0","E,0301","","","","","    2759.2","2","    2759.2","E","    536.2"," ,E","     10.96","E","     15.12","E","      6.81","E"
"UKE00156876","2019","52.8358","-1.2494","43.0","SUTTON BONINGTON, UK","     48.4","","      48.4","E","       166","E","        91","E","         2","E","         0","E","        40","E","         0","E","        58","E","         1","E","   -6.2","E,0131, ","  32.8"," ,E,0610, ","   36.0","E,0724, ","-0.2","E,1028","-2.8","E,1130","","","","","-2.3","E,0414","-2.3","E,0414","-5.7","E,0203","","","","","    2629.4","4","    2629.4","E","    846.4"," ,E","     10.55","E","     14.68","E","      6.42","E"
"UKE00156876","2020","52.8358","-1.2494","43.0","SUTTON BONINGTON, UK","     55.7","","      55.7","E","       156","E","        69","E","         3","E","         0","E","        26","E","         0","E","        64","E","         2","E","   -2.4","E,0119, ","  46.2"," ,E,0617, ","   34.5","E,0730, ","-1.7","E,1123","-2.3","E,1231","","","","","-0.5","E,0514","-2.3","E,0326","","","","","","","    2648.3","3","    2648.3","E","    689.2"," ,E","     10.98","E","     15.10","E","      6.87","E"
"UKE00156876","2021","52.8358","-1.2494","43.0","SUTTON BONINGTON, UK","     40.8","","      40.8","E","       142","E","        68","E","         1","E","         0","E","        51","E","         0","E","        70","E","         0","E","   -9.0","E,0125, ","  29.6"," ,E,1004, ","   30.2","E,0717, ","-1.1","E,1105","-2.2","E,1128","-7.0","E,1129","-7.0","E,1129","-1.4","E,0430","-2.5","E,0422","-5.5","E,0211","-9.0","E,0125","-9.0","E,0125","    2873.7","7","    2873.7","E","    590.2"," ,E","     10.61","E","     14.61","E","      6.62","E"
"UKE00156876","2022","52.8358","-1.2494","43.0","SUTTON BONINGTON, UK","     81.6","","      81.6","E","       138","E","        62","E","         0","E","         0","E","        33","E","         1","E","        82","E","         4","E","   -7.8","E,1215, ","  23.6"," ,E,1121, ","   39.4","E,0718, ","0.0","E,1121","-4.7","E,1209","-4.7","E,1209","-7.8","E,1215","-0.7","E,0430","-2.6","E,0410","","","","","","","    2478.4","4","    2478.4","E","    535.4"," ,E","     11.39","E","     15.76","E","      7.01","E"
