"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105651","2001","53.92","-1.17","32.0","ASKHAM BRYAN, UK","     33.1","","      33.1","E","       160","E","        79","E","         0","E","         0","E","        69","E","         0","E","        55","E","         0","E","   -5.4","E,0303, ","  19.0"," ,E,0321, ","   29.5","E,0814, ","-1.0","E,1110","-3.0","E,1223","-5.0","E,1226","-1.3","E,0421","-3.1","E,0320","-5.4","E,0303","","","","","    610.7"," ,E","      9.73","E","     13.80","E","      5.65","E"
"UKE00105651","2002","53.92","-1.17","32.0","ASKHAM BRYAN, UK","     18.8","","      18.8","E","       168","E","        94","E","         4","E","         0","E","        34","E","         0","E","        45","E","         0","E","   -6.6","E,0102, ","  43.5"," ,E,0801, ","   29.2","E,0816, ","-1.5","E,1019","-2.3","E,1218","","","-0.7","E,0416","-3.0","E,0105","-5.5","E,0103","    2819.9","9","    2819.9","E","    857.4"," ,E","     10.39","E","     14.34","E","      6.43","E"
"UKE00105651","2003","53.92","-1.17","32.0","ASKHAM BRYAN, UK","     51.9","","      51.9","E","       112","E","        62","E","         1","E","         0","E","        61","E","         1","E","        72","E","         0","E","   -5.0","E,1231,+","  53.7"," ,E,0630, ","   30.8","E,0808, ","-1.0","E,1022","-2.6","E,1124","-5.0","E,1208","0.0","E,0411","-2.6","E,0319","","","    2856.3","3","    2856.3","E","    502.7"," ,E","     10.40","E","     15.00","E","      5.80","E"
"UKE00105651","2004","53.92","-1.17","32.0","ASKHAM BRYAN, UK","     36.0","","      36.0","E","       163","E","        80","E","         1","E","         0","E","        39","E","         0","E","        50","E","         0","E","   -4.8","E,1121, ","  54.3"," ,E,0809, ","   28.5","E,0607, ","-0.6","E,1113","-2.9","E,1120","-4.8","E,1121","-0.5","E,0409","-3.1","E,0302","","","    2820.5","5","    2820.5","E","    657.3"," ,E","     10.46","E","     14.39","E","      6.54","E"
