"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00156856","2013","51.4306","-2.1131","49.0","LACOCK, UK","     39.3","","      39.3","E","       170","E","        88","E","         2","E","         0","E","        69","E","         1","E","        57","E","         0","E","   -6.0","E,0331, ","  44.4"," ,E,0729, ","   30.5","E,0721, ","-1.6","E,1113","-3.2","E,1120","","","-0.9","E,0501","-4.6","E,0407","-4.6","E,0407","","","","","    781.9"," ,E","      9.80","E","     14.10","E","      5.50","E"
"UKE00156856","2014","51.4306","-2.1131","49.0","LACOCK, UK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    2646.7","7","    2646.7","E","","","","","","","",""
"UKE00156856","2015","51.4306","-2.1131","49.0","LACOCK, UK","","","","","       176","E","        84","E","         1","E","","","","","         0","E","        41","E","         0","E","","","  33.0"," ,E,0724, ","   32.1","E,0630, ","","","","","","","","","","","","","","","","","    710.1"," ,E","","","     15.03","E","",""
"UKE00156856","2016","51.4306","-2.1131","49.0","LACOCK, UK","","","","","       164","E","        85","E","         2","E","","","","","         0","E","        58","E","         0","E","","","  27.8"," ,E,1121, ","   31.9","E,0718, ","","","","","","","","","","","","","    2780.5","5","    2780.5","E","    723.1"," ,E","","","     14.76","E","",""
"UKE00156856","2017","51.4306","-2.1131","49.0","LACOCK, UK","","","","","       163","E","        86","E","         0","E","         0","E","        54","E","","","","","","","   -6.1","E,0105, ","  21.0"," ,E,0729, ","","","-1.1","E,1030","-2.3","E,1106","-4.8","E,1212","-0.4","E,0510","-2.9","E,0427","-4.7","E,0123","","","","","    693.8"," ,E","","","","","      6.35","E"
"UKE00156856","2018","51.4306","-2.1131","49.0","LACOCK, UK","","","","","       153","E","        85","E","         0","E","","","","","","","","","","","","","  20.3"," ,E,1218, ","","","","","","","","","","","","","","","","","","","    686.8"," ,E","","","","","",""
