"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00156844","2013","53.8275","-1.1467","6.0","CAWOOD, UK","","","","","       131","E","        65","E","         1","E","         0","E","        64","E","","","","","","","   -7.1","E,0117, ","  29.0"," ,E,0823, ","","","-0.9","E,1104","-2.3","E,1126","","","-0.3","E,0409","-3.1","E,0407","-4.4","E,0312","-7.1","E,0117","","","","","    532.2"," ,E","","","","","      5.45","E"
"UKE00156844","2014","53.8275","-1.1467","6.0","CAWOOD, UK","","","","","       164","E","        81","E","         3","E","         0","E","        38","E","","","","","","","   -4.0","E,0324, ","  45.5"," ,E,0719, ","","","0.0","E,1104","-2.2","E,1209","","","-1.3","E,0503","-4.0","E,0324","","","","","","","","","    716.5"," ,E","","","","","      6.53","E"
"UKE00156844","2015","53.8275","-1.1467","6.0","CAWOOD, UK","","","","","       145","E","        60","E","         1","E","","","","","         0","E","        40","E","         0","E","","","  25.8"," ,E,0727, ","   29.2","E,0630, ","","","","","","","","","","","","","","","","","","","    582.4"," ,E","","","     14.50","E","",""
"UKE00156844","2016","53.8275","-1.1467","6.0","CAWOOD, UK","","","","","       143","E","        77","E","         2","E","         0","E","        47","E","","","","","","","   -4.6","E,1228, ","  44.0"," ,E,1121, ","","","0.0","E,1103","-4.5","E,1129","-4.5","E,1129","-0.5","E,0501","-3.0","E,0428","","","","","","","","","    641.3"," ,E","","","","","      6.10","E"
"UKE00156844","2017","53.8275","-1.1467","6.0","CAWOOD, UK","","","","","       153","E","        68","E","         0","E","         0","E","        44","E","","","","","","","   -4.6","E,1212, ","  22.0"," ,E,0808, ","","","-0.1","E,1030","-2.2","E,1119","-4.6","E,1212","-1.0","E,0425","-2.7","E,0207","","","","","","","","","    551.6"," ,E","","","","","      6.37","E"
"UKE00156844","2018","53.8275","-1.1467","6.0","CAWOOD, UK","","","","","       141","E","        73","E","         1","E","         0","E","        51","E","","","","","","","   -7.4","E,0228, ","  60.9"," ,E,0920, ","","","0.0","E,1007","-2.6","E,1225","","","-1.0","E,0501","-2.2","E,0302","-6.0","E,0301","-7.4","E,0228","","","","","    640.6"," ,E","","","","","      5.82","E"
"UKE00156844","2019","53.8275","-1.1467","6.0","CAWOOD, UK","","","","","       162","E","        92","E","         2","E","","","","","         0","E","        55","E","         1","E","","","  36.6"," ,E,0924, ","   33.6","E,0724, ","","","","","","","","","","","","","","","","","","","    780.8"," ,E","","","     14.22","E","",""
"UKE00156844","2020","53.8275","-1.1467","6.0","CAWOOD, UK","","","","","       157","E","        79","E","         1","E","","","","","         0","E","        51","E","         1","E","","","  26.5"," ,E,0209, ","   33.4","E,0730, ","","","","","","","","","","","","","","","    2849.8","8","    2849.8","E","    666.3"," ,E","","","     14.53","E","",""
"UKE00156844","2021","53.8275","-1.1467","6.0","CAWOOD, UK","     23.2","","      23.2","E","       150","E","        77","E","         1","E","         0","E","        68","E","         0","E","        62","E","         0","E","   -6.1","E,0211, ","  43.0"," ,E,0704, ","   29.0","E,0716, ","-1.2","E,1128","-3.4","E,1129","","","0.0","E,0507","-3.1","E,0422","-4.8","E,0413","","","","","","","    753.3"," ,E","      9.90","E","     14.12","E","      5.68","E"
