"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105923","1970","50.7789","-1.8339","10.0","HURN, UK","     14.5","","      14.5","E","       161","E","        92","E","         2","E","        2","","         0","E","        73","E","         1","E","        50","E","         0","E","   -9.6","E,0107, ","    70"," ,E,1228, ","  41.5"," ,E,0129, ","   28.2","E,0609, ","-1.0","E,1008","-4.3","E,1116","-4.6","E,1226","","","","","-2.6","E,0428","-2.6","E,0428","-5.4","E,0409","-6.7","E,0310","-9.1","E,0108","    2989.7","7","    2989.7","E","    822.0"," ,E","      9.90","E","     14.21","E","      5.59","E"
"UKE00105923","1971","50.7789","-1.8339","10.0","HURN, UK","     10.5","","      10.5","E","       114","E","        65","E","         3","E","        0","","         0","E","        64","E","         0","E","        47","E","         0","E","   -7.3","E,0307,+","     0"," ,E,1231,+","  48.2"," ,E,0610, ","   28.5","E,0707, ","-0.2","E,1006","-4.9","E,1107","-4.9","E,1107","","","","","-0.8","E,0504","-2.3","E,0429","-7.3","E,0307","-7.3","E,0307","","","    3082.8","8","    3082.8","E","    638.2"," ,E","      9.89","E","     14.48","E","      5.30","E"
"UKE00105923","1972","50.7789","-1.8339","10.0","HURN, UK","      3.5","","       3.5","E","       165","E","        91","E","         2","E","        0","","         0","E","        45","E","         0","E","        30","E","         0","E","  -10.1","E,0131, ","     0"," ,E,1231,+","  35.7"," ,E,0304, ","   26.8","E,0716, ","-1.1","E,1021","-2.2","E,1109","-4.6","E,1118","","","","","-1.0","E,0428","-3.3","E,0302","-10.1","E,0131","-10.1","E,0131","-10.1","E,0131","    2931.6","6","    2931.6","E","    849.2"," ,E","      9.66","E","     13.85","E","      5.46","E"
"UKE00105923","1973","50.7789","-1.8339","10.0","HURN, UK","     21.0","","      21.0","E","       111","E","        56","E","         2","E","        0","","         0","E","        84","E","         0","E","        59","E","         0","E","   -7.7","E,0215, ","     0"," ,E,1231,+","  37.6"," ,E,1015, ","   30.5","E,0814, ","-1.2","E,1018","-3.3","E,1107","-5.4","E,1117","","","","","-0.6","E,0502","-3.5","E,0410","-4.8","E,0311","-7.7","E,0215","","","    3103.1","1","    3103.1","E","    509.4"," ,E","      9.84","E","     14.54","E","      5.14","E"
"UKE00105923","1974","50.7789","-1.8339","10.0","HURN, UK","      1.9","","       1.9","E","       168","E","        91","E","         2","E","        0","","         0","E","        37","E","         0","E","        22","E","         0","E","   -4.2","E,0101, ","     0"," ,E,1231,+","  44.8"," ,E,0904, ","   25.4","E,0613, ","-0.6","E,0930","-3.0","E,1013","","","","","","","-1.1","E,0507","-3.9","E,0306","","","","","","","    2915.0","0","    2915.0","E","    933.8"," ,E","     10.06","E","     14.18","E","      5.94","E"
"UKE00105923","1975","50.7789","-1.8339","10.0","HURN, UK","     32.8","","      32.8","E","       125","E","        70","E","         3","E","        0","","         0","E","        63","E","         0","E","        63","E","         0","E","   -6.4","E,1214, ","    10"," ,E,0329,+","  41.7"," ,E,0913, ","   31.3","E,0807, ","-0.3","E,1013","-3.5","E,1121","-4.9","E,1122","","","","","-0.2","E,0420","-3.2","E,0410","-4.7","E,0406","","","","","    2996.1","1","    2996.1","E","    612.6"," ,E","     10.13","E","     14.75","E","      5.50","E"
"UKE00105923","1976","50.7789","-1.8339","10.0","HURN, UK","     81.6","","      81.6","E","       126","E","        70","E","         4","E","        0","","         0","E","        76","E","         0","E","        86","E","         5","E","   -8.3","E,1229, ","     0"," ,E,1231,+","  29.7"," ,E,1129, ","   33.8","E,0627, ","-0.1","E,1016","-2.5","E,1103","-6.1","E,1204","-8.3","E,1229","","","-0.2","E,0514","-2.5","E,0430","-5.9","E,0324","","","","","    2917.1","1","    2917.1","E","    682.9"," ,E","     10.29","E","     15.00","E","      5.59","E"
"UKE00105923","1977","50.7789","-1.8339","10.0","HURN, UK","      6.3","","       6.3","E","       176","E","        98","E","         4","E","        1","","         0","E","        50","E","         0","E","        33","E","         0","E","   -6.6","E,0112, ","    30"," ,E,0114, ","  42.9"," ,E,0824, ","   27.9","E,0704, ","-0.3","E,1117","-3.5","E,1119","","","","","","","-0.1","E,0514","-4.4","E,0410","-4.4","E,0410","","","","","    3054.5","5","    3054.5","E","    906.7"," ,E","     10.02","E","     13.92","E","      6.11","E"
"UKE00105923","1978","50.7789","-1.8339","10.0","HURN, UK","      1.4","","       1.4","E","       150","E","        77","E","         4","E","        7","","         0","E","        61","E","         1","E","        25","E","         0","E","   -9.7","E,0212, ","   220"," ,E,0221, ","  50.6"," ,E,0731, ","   26.0","E,0713,+","-1.1","E,1120","-7.9","E,1127","-7.9","E,1127","-7.9","E,1127","","","-1.1","E,0428","-3.1","E,0416","-5.4","E,0411","-7.5","E,0215","-9.7","E,0212","    3093.1","1","    3093.1","E","    797.5"," ,E","      9.68","E","     13.83","E","      5.53","E"
"UKE00105923","1979","50.7789","-1.8339","10.0","HURN, UK","      1.2","","       1.2","E","       165","E","        90","E","         2","E","        5","","         0","E","        84","E","         0","E","        27","E","         0","E","  -12.9","E,0103, ","   110"," ,E,0102, ","  47.7"," ,E,1227, ","   26.4","E,0726, ","0.0","E,1005","-6.0","E,1113","-6.0","E,1113","-7.0","E,1225","","","-0.8","E,0507","-2.2","E,0506","-4.9","E,0323","-6.9","E,0203","-9.6","E,0129","    3203.6","6","    3203.6","E","    804.5"," ,E","      9.10","E","     13.34","E","      4.86","E"
