"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00156832","2013","53.7742","-3.0381","10.0","BLACKPOOL SQUIRES GATE, UK","     17.4","","      17.4","E","       155","E","        82","E","         0","E","         0","E","        59","E","         0","E","        29","E","         0","E","   -5.0","E,0314, ","  22.6"," ,E,0213, ","   27.7","E,0721, ","-1.4","E,1104","-4.1","E,1123","","","","","","","0.0","E,0427","-2.3","E,0410","-4.4","E,0407","","","","","    647.6"," ,E","      9.66","E","     12.73","E","      6.59","E"
"UKE00156832","2014","53.7742","-3.0381","10.0","BLACKPOOL SQUIRES GATE, UK","     13.7","","      13.7","E","       189","E","       105","E","         0","E","         0","E","        14","E","         0","E","        27","E","         0","E","   -3.7","E,1203, ","  20.8"," ,E,0801, ","   29.1","E,0724, ","-0.1","E,1106","-3.7","E,1203","","","","","","","-2.6","E,0324","-2.6","E,0324","","","    2600.7","7","    2600.7","E","    737.8"," ,E","     10.96","E","     14.22","E","      7.70","E"
"UKE00156832","2015","53.7742","-3.0381","10.0","BLACKPOOL SQUIRES GATE, UK","     11.2","","      11.2","E","       181","E","       100","E","         1","E","         0","E","        26","E","         0","E","        15","E","         0","E","   -4.3","E,0120,+","  41.2"," ,E,1225, ","   29.9","E,0630,+","-0.6","E,1122","-2.7","E,1123","","","","","","","0.0","E,0501","-2.2","E,0427","","","    2892.3","3","    2892.3","E","    939.2"," ,E","     10.12","E","     13.38","E","      6.87","E"
"UKE00156832","2016","53.7742","-3.0381","10.0","BLACKPOOL SQUIRES GATE, UK","     13.5","","      13.5","E","       183","E","        96","E","         2","E","         0","E","        37","E","         0","E","        27","E","         0","E","   -4.5","E,1108, ","  26.8"," ,E,0109, ","   31.1","E,0718, ","-4.5","E,1108","-4.5","E,1108","-4.5","E,1108","","","","","0.0","E,0429","-2.9","E,0308","","","    2797.0","0","    2797.0","E","    838.4"," ,E","     10.36","E","     13.59","E","      7.13","E"
"UKE00156832","2017","53.7742","-3.0381","10.0","BLACKPOOL SQUIRES GATE, UK","     13.5","","      13.5","E","       200","E","       108","E","         3","E","         0","E","        25","E","         0","E","        21","E","         0","E","   -5.7","E,1211, ","  32.6"," ,E,0719, ","   28.6","E,0620,+","-0.5","E,1030","-5.7","E,1211","-5.7","E,1211","","","","","-1.1","E,0325","-2.2","E,0209","-4.5","E,0106","    2615.7","7","    2615.7","E","    970.3"," ,E","     10.67","E","     13.69","E","      7.65","E"
"UKE00156832","2018","53.7742","-3.0381","10.0","BLACKPOOL SQUIRES GATE, UK","     20.9","","      20.9","E","       178","E","        98","E","         2","E","         0","E","        35","E","         0","E","        51","E","         0","E","   -5.3","E,0301, ","  28.8"," ,E,1012, ","   30.1","E,0626, ","-2.8","E,1029","-2.8","E,1029","","","","","","","-0.9","E,0329","-2.6","E,0302","-5.3","E,0301","    2867.6","6","    2867.6","E","    807.8"," ,E","     10.41","E","     13.81","E","      7.02","E"
"UKE00156832","2019","53.7742","-3.0381","10.0","BLACKPOOL SQUIRES GATE, UK","     26.2","","      26.2","E","       191","E","       109","E","         5","E","         0","E","        30","E","         0","E","        33","E","         1","E","   -6.4","E,0203, ","  36.8"," ,E,0928, ","   32.4","E,0724, ","-1.8","E,1028","-3.3","E,1119","-4.4","E,1202","","","","","-1.0","E,0414","-6.4","E,0203","-6.4","E,0203","    2657.9","9","    2657.9","E","   1077.8"," ,E","     10.53","E","     13.75","E","      7.30","E"
"UKE00156832","2020","53.7742","-3.0381","10.0","BLACKPOOL SQUIRES GATE, UK","     25.7","","      25.7","E","       197","E","       120","E","         4","E","         0","E","        17","E","         0","E","        29","E","         0","E","   -4.3","E,1231,+","  36.0"," ,E,0208, ","   30.9","E,0624, ","-1.1","E,1128","-4.0","E,1225","","","","","","","-1.2","E,0514","-2.8","E,0120","","","    2753.8","8","    2753.8","E","   1102.0"," ,E","     10.79","E","     14.09","E","      7.48","E"
"UKE00156832","2021","53.7742","-3.0381","10.0","BLACKPOOL SQUIRES GATE, UK","     17.6","","      17.6","E","       165","E","        97","E","         5","E","         0","E","        37","E","         0","E","        36","E","         0","E","   -5.4","E,0107, ","  38.6"," ,E,1031, ","   30.0","E,0907, ","-0.4","E,1105","-4.3","E,1129","","","","","","","-0.7","E,0422","-2.4","E,0413","-4.9","E,0211","    2962.1","1","    2962.1","E","   1019.8"," ,E","     10.45","E","     13.73","E","      7.16","E"
"UKE00156832","2022","53.7742","-3.0381","10.0","BLACKPOOL SQUIRES GATE, UK","     43.8","","      43.8","E","       170","E","        99","E","         0","E","         0","E","        24","E","         1","E","        41","E","         2","E","   -8.9","E,1215, ","  21.4"," ,E,0930, ","   37.2","E,0718, ","-0.8","E,1207","-5.9","E,1208","-5.9","E,1208","-8.9","E,1215","-8.9","E,1215","-1.3","E,0410","-2.7","E,0301","","","    2433.8","8","    2433.8","E","    813.8"," ,E","     11.23","E","     14.60","E","      7.87","E"
