"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00156872","2013","52.0994","-2.0583","37.0","PERSHORE COLLEGE, UK","     56.1","","      56.1","E","       149","E","        74","E","         2","E","         0","E","        50","E","         1","E","        64","E","         0","E","   -4.5","E,0331, ","  56.4"," ,E,0722, ","   31.0","E,0721, ","-0.2","E,1115","-3.5","E,1126","","","","","-3.3","E,0407","-3.3","E,0407","-4.5","E,0331","","","","","","","    701.0"," ,E","     10.19","E","     14.17","E","      6.22","E"
"UKE00156872","2014","52.0994","-2.0583","37.0","PERSHORE COLLEGE, UK","     25.7","","      25.7","E","       181","E","       101","E","         4","E","         0","E","        20","E","         0","E","        67","E","         0","E","   -3.5","E,1230, ","  29.8"," ,E,0809, ","   28.0","E,0725, ","-0.8","E,1106","-3.2","E,1229","","","","","-2.7","E,0324","-2.7","E,0324","","","","","    2476.5","5","    2476.5","E","    903.0"," ,E","     11.47","E","     15.58","E","      7.36","E"
"UKE00156872","2015","52.0994","-2.0583","37.0","PERSHORE COLLEGE, UK","     13.9","","      13.9","E","       171","E","        86","E","         1","E","         0","E","        24","E","         0","E","        44","E","         0","E","   -5.8","E,0123, ","  41.0"," ,E,0813, ","   31.9","E,0630, ","-2.3","E,1123","-2.3","E,1123","","","","","-0.3","E,0427","-3.4","E,0207","-5.8","E,0123","","","    2688.0","0","    2688.0","E","    669.0"," ,E","     10.96","E","     15.10","E","      6.82","E"
"UKE00156872","2016","52.0994","-2.0583","37.0","PERSHORE COLLEGE, UK","     46.7","","      46.7","E","       154","E","        64","E","         3","E","         0","E","        42","E","         0","E","        75","E","         1","E","   -6.5","E,1130, ","  34.4"," ,E,0308, ","   32.4","E,0718, ","-0.6","E,1103","-3.4","E,1108","-4.4","E,1129","","","-1.2","E,0428","-3.1","E,0308","-4.6","E,0224","","","    2573.3","3","    2573.3","E","    650.2"," ,E","     10.87","E","     15.04","E","      6.71","E"
"UKE00156872","2017","52.0994","-2.0583","37.0","PERSHORE COLLEGE, UK","     37.2","","      37.2","E","       169","E","        76","E","         1","E","         0","E","        42","E","         0","E","        65","E","         0","E","   -7.5","E,1212, ","  27.6"," ,E,1226, ","   31.2","E,0620, ","-0.6","E,1106","-2.6","E,1117","-7.5","E,1212","-7.5","E,1212","-0.9","E,0427","-3.1","E,0206","-5.2","E,0105","","","    2434.6","6","    2434.6","E","    639.0"," ,E","     11.24","E","     15.43","E","      7.05","E"
"UKE00156872","2018","52.0994","-2.0583","37.0","PERSHORE COLLEGE, UK","     91.4","","      91.4","E","       146","E","        73","E","         0","E","         0","E","        34","E","         2","E","        93","E","         0","E","   -6.5","E,0301, ","  14.8"," ,E,0330, ","   31.1","E,0725, ","-1.1","E,1027","-3.3","E,1029","","","","","-0.3","E,0326","-2.6","E,0318","-4.5","E,0302","","","    2616.3","3","    2616.3","E","    589.0"," ,E","     11.33","E","     15.71","E","      6.95","E"
"UKE00156872","2019","52.0994","-2.0583","37.0","PERSHORE COLLEGE, UK","     39.9","","      39.9","E","       160","E","        89","E","         2","E","         0","E","        38","E","         0","E","        64","E","         1","E","   -5.9","E,0131, ","  38.2"," ,E,1025, ","   33.8","E,0724, ","-0.6","E,1028","-2.5","E,1202","","","","","-2.6","E,0414","-2.6","E,0414","-5.6","E,0203","","","    2563.7","7","    2563.7","E","    832.4"," ,E","     10.89","E","     15.16","E","      6.61","E"
"UKE00156872","2020","52.0994","-2.0583","37.0","PERSHORE COLLEGE, UK","     65.6","","      65.6","E","       156","E","        90","E","         5","E","         0","E","        27","E","         0","E","        75","E","         2","E","   -4.2","E,1231, ","  39.4"," ,E,1223, ","   34.2","E,0811,+","-1.2","E,1104","-2.4","E,1225","","","","","-1.2","E,0514","-2.4","E,0206","","","","","    2591.3","3","    2591.3","E","    822.4"," ,E","     11.39","E","     15.68","E","      7.10","E"
"UKE00156872","2021","52.0994","-2.0583","37.0","PERSHORE COLLEGE, UK","     43.9","","      43.9","E","       144","E","        87","E","         0","E","         0","E","        59","E","         0","E","        80","E","         0","E","   -5.6","E,0211, ","  22.4"," ,E,0928, ","   30.4","E,0717, ","-0.7","E,1105","-2.8","E,1128","","","","","-1.3","E,0502","-2.3","E,0417","-5.6","E,0211","","","    2781.2","2","    2781.2","E","    712.6"," ,E","     10.89","E","     15.07","E","      6.71","E"
"UKE00156872","2023","52.0994","-2.0583","37.0","PERSHORE COLLEGE, UK","     57.4","","      57.4","E","       177","E","       102","E","         1","E","         0","E","        32","E","         1","E","        71","E","         0","E","   -7.3","E,0122, ","  38.6"," ,E,1019, ","   30.5","E,0908, ","-3.7","E,1125","-3.7","E,1125","-4.4","E,1130","","","-0.8","E,0425","-2.4","E,0315","-5.7","E,0208","-7.3","E,0122","    2527.1","1","    2527.1","E","    864.0"," ,E","     11.54","E","     15.79","E","      7.28","E"
