"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"UKE00105003","1936","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       157","E","        74","E","         1","E","  34.5"," ,E,0621, ","    629.7"," ,E"
"UKE00105003","1937","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       147","E","        81","E","         1","E","  30.7"," ,E,0715, ","    686.0"," ,E"
"UKE00105003","1938","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       133","E","        59","E","         2","E","  34.2"," ,E,0927, ","    495.9"," ,E"
"UKE00105003","1939","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       150","E","        74","E","         2","E","  32.2"," ,E,0805, ","    653.8"," ,E"
"UKE00105003","1940","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       129","E","        68","E","         2","E","  28.4"," ,E,1113, ","    552.9"," ,E"
"UKE00105003","1941","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       134","E","        61","E","         0","E","  25.1"," ,E,1111, ","    535.5"," ,E"
"UKE00105003","1942","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       131","E","        53","E","         0","E","  20.3"," ,E,0123, ","    454.9"," ,E"
"UKE00105003","1943","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       126","E","        55","E","         0","E","  18.3"," ,E,0106, ","    420.7"," ,E"
"UKE00105003","1944","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       114","E","        64","E","         1","E","  37.0"," ,E,0824, ","    470.0"," ,E"
"UKE00105003","1945","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       117","E","        49","E","         3","E","  44.3"," ,E,0903, ","    462.8"," ,E"
"UKE00105003","1946","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       165","E","        83","E","         0","E","  22.7"," ,E,0920, ","    592.4"," ,E"
"UKE00105003","1947","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       142","E","        59","E","         1","E","  28.8"," ,E,0627, ","    490.4"," ,E"
"UKE00105003","1948","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       143","E","        64","E","         3","E","  53.1"," ,E,0802, ","    649.5"," ,E"
"UKE00105003","1949","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       103","E","        53","E","         2","E","  49.8"," ,E,0716, ","    452.8"," ,E"
"UKE00105003","1950","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       156","E","        81","E","         3","E","  50.7"," ,E,0706, ","    719.6"," ,E"
"UKE00105003","1951","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       168","E","        86","E","         1","E","  29.2"," ,E,0806, ","    669.5"," ,E"
"UKE00105003","1952","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       153","E","        70","E","         1","E","  25.4"," ,E,0930, ","    560.2"," ,E"
"UKE00105003","1953","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       128","E","        63","E","         1","E","  28.6"," ,E,0819, ","    475.9"," ,E"
"UKE00105003","1954","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       162","E","        77","E","         1","E","  31.4"," ,E,0528, ","    632.1"," ,E"
"UKE00105003","1955","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       131","E","        57","E","         2","E","  26.5"," ,E,0922, ","    497.9"," ,E"
"UKE00105003","1956","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       140","E","        64","E","         1","E","  33.9"," ,E,0708, ","    559.0"," ,E"
"UKE00105003","1957","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       142","E","        62","E","         0","E","  22.3"," ,E,0923, ","    498.9"," ,E"
"UKE00105003","1958","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       169","E","        82","E","         2","E","  31.7"," ,E,0626, ","    736.2"," ,E"
"UKE00105003","1959","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       115","E","        60","E","         3","E","  57.4"," ,E,0710, ","    500.2"," ,E"
"UKE00105003","1960","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       175","E","        79","E","         1","E","  27.4"," ,E,0919, ","    725.1"," ,E"
"UKE00105003","1961","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       151","E","        73","E","         0","E","  24.4"," ,E,0913, ","    532.0"," ,E"
"UKE00105003","1962","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       137","E","        68","E","         0","E","  22.4"," ,E,0806, ","    495.8"," ,E"
"UKE00105003","1963","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       174","E","        64","E","         1","E","  36.1"," ,E,0817, ","    542.6"," ,E"
"UKE00105003","1964","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       137","E","        58","E","         2","E","  31.7"," ,E,0314, ","    461.6"," ,E"
"UKE00105003","1965","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       166","E","        76","E","         1","E","  31.0"," ,E,0903, ","    590.9"," ,E"
"UKE00105003","1966","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       171","E","        77","E","         2","E","  29.7"," ,E,0821, ","    593.2"," ,E"
"UKE00105003","1967","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       162","E","        71","E","         1","E","  36.3"," ,E,0722, ","    582.3"," ,E"
"UKE00105003","1968","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       157","E","        72","E","         3","E","  42.2"," ,E,0915, ","    615.3"," ,E"
"UKE00105003","1969","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       134","E","        67","E","         1","E","  29.5"," ,E,0505, ","    529.6"," ,E"
"UKE00105003","1970","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       159","E","        75","E","         0","E","  23.4"," ,E,1114, ","    561.8"," ,E"
"UKE00105003","1971","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       117","E","        63","E","         1","E","  26.9"," ,E,0610, ","    531.9"," ,E"
"UKE00105003","1972","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       129","E","        64","E","         1","E","  27.1"," ,E,0801, ","    403.7"," ,E"
"UKE00105003","1973","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       119","E","        48","E","         2","E","  34.3"," ,E,0627, ","    413.8"," ,E"
"UKE00105003","1974","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       153","E","        79","E","         1","E","  26.8"," ,E,1117, ","    616.8"," ,E"
"UKE00105003","1975","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       139","E","        57","E","         1","E","  32.6"," ,E,0913, ","    489.4"," ,E"
"UKE00105003","1976","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       135","E","        59","E","         1","E","  31.6"," ,E,0715, ","    487.3"," ,E"
"UKE00105003","1977","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       158","E","        61","E","         0","E","  22.1"," ,E,0821, ","    556.4"," ,E"
"UKE00105003","1978","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       144","E","        61","E","         1","E","  52.1"," ,E,0505, ","    530.8"," ,E"
"UKE00105003","1979","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       162","E","        76","E","         0","E","  25.0"," ,E,1227, ","    629.9"," ,E"
"UKE00105003","1980","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       140","E","        65","E","         0","E","  20.5"," ,E,0630, ","    498.5"," ,E"
"UKE00105003","1981","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       144","E","        65","E","         2","E","  39.3"," ,E,0709, ","    607.5"," ,E"
"UKE00105003","1982","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       146","E","        82","E","         3","E","  44.4"," ,E,0813, ","    694.8"," ,E"
"UKE00105003","1983","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       136","E","        75","E","         2","E","  28.7"," ,E,1126, ","    585.8"," ,E"
"UKE00105003","1984","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       146","E","        78","E","         3","E","  28.4"," ,E,0914, ","    661.2"," ,E"
"UKE00105003","1985","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       147","E","        71","E","         0","E","  20.0"," ,E,0606, ","    552.8"," ,E"
"UKE00105003","1986","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       167","E","        82","E","         1","E","  26.0"," ,E,0913, ","    618.0"," ,E"
"UKE00105003","1987","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       153","E","        74","E","         0","E","  22.4"," ,E,0825, ","    624.1"," ,E"
"UKE00105003","1988","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       152","E","        76","E","         2","E","  34.5"," ,E,0927, ","    620.8"," ,E"
"UKE00105003","1989","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       123","E","        62","E","         2","E","  32.0"," ,E,1213, ","    523.6"," ,E"
"UKE00105003","1990","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       125","E","        65","E","         0","E","  20.1"," ,E,0203, ","    439.7"," ,E"
"UKE00105003","1991","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       130","E","        53","E","         1","E","  30.2"," ,E,0801, ","    479.8"," ,E"
"UKE00105003","1992","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       137","E","        67","E","         4","E","  37.2"," ,E,1019, ","    660.1"," ,E"
"UKE00105003","1993","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       145","E","        70","E","         1","E","  41.0"," ,E,1012, ","    691.6"," ,E"
"UKE00105003","1994","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       147","E","        75","E","         0","E","  15.4"," ,E,0915, ","    530.7"," ,E"
"UKE00105003","1995","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       143","E","        62","E","         0","E","  23.1"," ,E,0530, ","    532.8"," ,E"
"UKE00105003","1996","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       118","E","        45","E","         0","E","  19.8"," ,E,0607, ","    390.4"," ,E"
"UKE00105003","1997","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       138","E","        58","E","         3","E","  37.6"," ,E,0626, ","    517.2"," ,E"
"UKE00105003","1998","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       161","E","        72","E","         1","E","  27.7"," ,E,0926, ","    644.0"," ,E"
"UKE00105003","1999","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       153","E","        69","E","         0","E","  22.3"," ,E,0804, ","    567.0"," ,E"
"UKE00105003","2000","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       156","E","        79","E","         0","E","  25.0"," ,E,1020, ","    704.0"," ,E"
"UKE00105003","2005","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       140","E","        55","E","         2","E","  85.8"," ,E,0909, ","    582.2"," ,E"
