"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105878","1962","54.4389","-7.9031","126.0","LOUGH NAVAR FOREST, UK","      0.0","","       0.0","E","","","","","","","         0","E","        66","E","         2","E","         4","E","         0","E","   -7.2","E,0306, ","","","   22.2","E,0607, ","-1.7","E,1113","-2.2","E,1119","-6.1","E,1229","","","","","0.0","E,0422","-2.2","E,0328","-7.2","E,0306","-7.2","E,0306","","","","","","","","","      7.95","E","     11.37","E","      4.53","E"
"UKE00105878","1963","54.4389","-7.9031","126.0","LOUGH NAVAR FOREST, UK","","","","","       225","E","       144","E","         5","E","         0","E","        89","E","","","","","","","   -9.4","E,0124,+","  36.8"," ,E,0706, ","","","-0.1","E,1114","-2.2","E,1116","-5.0","E,1218","","","","","-1.1","E,0413","-2.2","E,0412","-4.4","E,0222","-6.7","E,0220","-9.4","E,0124","","","","","   1359.1"," ,E","","","","","      4.52","E"
"UKE00105878","1964","54.4389","-7.9031","126.0","LOUGH NAVAR FOREST, UK","      0.0","","       0.0","E","       238","E","       152","E","         5","E","         0","E","        44","E","         0","E","         5","E","         0","E","   -4.4","E,0307,+","  37.6"," ,E,0612, ","   22.8","E,0803, ","-0.1","E,1103","-3.3","E,1225","","","","","","","-0.1","E,0405","-2.2","E,0330","-4.4","E,0307","","","","","    3530.0","0","    3530.0","E","   1410.7"," ,E","      8.69","E","     11.93","E","      5.46","E"
"UKE00105878","1965","54.4389","-7.9031","126.0","LOUGH NAVAR FOREST, UK","      0.0","","       0.0","E","       243","E","       165","E","         9","E","         0","E","        78","E","         0","E","         4","E","         0","E","  -10.0","E,0302, ","  39.6"," ,E,0108, ","   22.2","E,0811,+","0.0","E,0924","-3.9","E,1115","-6.7","E,1228","-6.7","E,1228","","","-2.8","E,0519","-2.8","E,0519","-10.0","E,0302","-10.0","E,0302","-10.0","E,0302","    3627.8","8","    3627.8","E","   1587.1"," ,E","      7.75","E","     11.31","E","      4.19","E"
"UKE00105878","1966","54.4389","-7.9031","126.0","LOUGH NAVAR FOREST, UK","","","","","       257","E","       170","E","         3","E","","","","","         2","E","         4","E","         0","E","","","  39.4"," ,E,1209, ","   22.8","E,0720,+","","","","","","","","","","","","","","","","","","","","","","","","","   1557.5"," ,E","","","     11.75","E","",""
"UKE00105878","1967","54.4389","-7.9031","126.0","LOUGH NAVAR FOREST, UK","      0.0","","       0.0","E","       273","E","       175","E","         1","E","         0","E","        45","E","         0","E","         7","E","         0","E","   -5.6","E,1217, ","  26.9"," ,E,0817, ","   23.3","E,0711, ","-0.6","E,1018","-3.3","E,1107","-5.6","E,1217","","","","","-1.1","E,0518","-2.8","E,0503","","","","","","","    3551.9","9","    3551.9","E","   1511.8"," ,E","      8.44","E","     12.00","E","      4.88","E"
"UKE00105878","1968","54.4389","-7.9031","126.0","LOUGH NAVAR FOREST, UK","      0.0","","       0.0","E","       220","E","       142","E","         6","E","         0","E","        79","E","         0","E","        23","E","         0","E","   -7.2","E,0206, ","  75.0"," ,E,1031, ","   25.0","E,0615,+","-1.0","E,1103","-4.6","E,1104","-4.6","E,1104","","","","","0.0","E,0523","-2.8","E,0413","-5.6","E,0402","-7.2","E,0206","","","    3624.5","5","    3624.5","E","   1407.7"," ,E","      8.40","E","     12.28","E","      4.51","E"
"UKE00105878","1969","54.4389","-7.9031","126.0","LOUGH NAVAR FOREST, UK","","","","","       237","E","       145","E","         5","E","         0","E","        76","E","         0","E","        10","E","         0","E","  -10.5","E,0216, ","  45.6"," ,E,1121, ","   26.5","E,0713, ","0.0","E,1104","-2.3","E,1115","-6.4","E,1212","","","","","-0.2","E,0505","-6.3","E,0327","-6.3","E,0327","-6.7","E,0324","-10.5","E,0216","","","","","   1373.4"," ,E","      8.01","E","     11.74","E","      4.27","E"
"UKE00105878","1970","54.4389","-7.9031","126.0","LOUGH NAVAR FOREST, UK","      2.5","","       2.5","E","       249","E","       159","E","         4","E","         0","E","        71","E","         1","E","        18","E","         0","E","   -8.3","E,0107, ","  72.2"," ,E,0815, ","   25.8","E,0608, ","-0.6","E,1112","-2.3","E,1114","-4.5","E,1227","","","","","-0.2","E,0427","-2.3","E,0413","-6.6","E,0213","-7.8","E,0108","","","    3426.9","9","    3426.9","E","   1530.3"," ,E","      8.27","E","     11.89","E","      4.65","E"
"UKE00105878","1971","54.4389","-7.9031","126.0","LOUGH NAVAR FOREST, UK","      0.9","","       0.9","E","       213","E","       126","E","         5","E","         0","E","        70","E","         0","E","        11","E","         0","E","   -7.0","E,0130, ","  48.6"," ,E,1120, ","   25.0","E,0706, ","-1.8","E,0925","-3.7","E,1014","-4.4","E,1125","","","","","-0.6","E,0529","-3.0","E,0428","-5.8","E,0322","-7.0","E,0130","","","    3638.7","7","    3638.7","E","   1141.1"," ,E","      8.56","E","     12.78","E","      4.34","E"
