"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105869","1960","50.6139","-1.9581","10.0","SWANAGE, UK","      2.5","","       2.5","E","","","","","","","         0","E","        18","E","         0","E","         4","E","         0","E","   -5.0","E,0114, ","","","   24.4","E,0625, ","0.0","E,1211","","","","","-1.1","E,0224","-2.2","E,0218","-5.0","E,0114","","","","","","","","","     10.71","E","     13.40","E","      8.02","E"
"UKE00105869","1961","50.6139","-1.9581","10.0","SWANAGE, UK","","","","","       146","E","        88","E","         1","E","         0","E","        22","E","         0","E","        20","E","         0","E","   -5.6","E,1228, ","  35.1"," ,E,0129, ","   25.0","E,0829, ","-1.7","E,1124","-2.2","E,1219","-5.6","E,1228","0.0","E,0305","-2.2","E,0112","","","","","    2648.8","8","    2648.8","E","    800.1"," ,E","     11.09","E","     14.25","E","      7.93","E"
"UKE00105869","1962","50.6139","-1.9581","10.0","SWANAGE, UK","      0.0","","       0.0","E","       145","E","        73","E","         1","E","         0","E","        38","E","         0","E","         3","E","         0","E","   -5.6","E,1226, ","  26.7"," ,E,0816, ","   22.8","E,0701, ","0.0","E,1113","-3.9","E,1120","-5.6","E,1226","-1.1","E,0328","-3.3","E,0325","-4.4","E,0306","","","","","","","    697.5"," ,E","      9.79","E","     13.11","E","      6.48","E"
"UKE00105869","1963","50.6139","-1.9581","10.0","SWANAGE, UK","","","","","       166","E","        96","E","         2","E","","","","","         9","E","         8","E","         0","E","","","  46.5"," ,E,0803, ","   25.0","E,0721,+","","","","","","","","","","","","","","","    3305.8","8","    3305.8"," ","    812.0"," ,E","","","     12.26","E","",""
"UKE00105869","1964","50.6139","-1.9581","10.0","SWANAGE, UK","","","","","       130","E","        66","E","         2","E","         0","E","        23","E","","","","","","","   -5.6","E,1229,+","  30.7"," ,E,1009, ","","","-1.1","E,1129","-3.3","E,1216","-5.6","E,1226","-1.1","E,0309","-3.3","E,0207","","","","","","","","","    598.1"," ,E","","","","","      7.47","E"
"UKE00105869","1965","50.6139","-1.9581","10.0","SWANAGE, UK","      0.3","","       0.3","E","       171","E","        88","E","         1","E","         0","E","        37","E","         0","E","         4","E","         0","E","   -6.7","E,0303, ","  36.8"," ,E,0711, ","   22.8","E,0815, ","-1.1","E,1115","-3.9","E,1228","","","-3.3","E,0329","-3.3","E,0329","-6.7","E,0303","-6.7","E,0303","    2839.5","5","    2839.5","E","    811.7"," ,E","      9.89","E","     13.08","E","      6.70","E"
"UKE00105869","1966","50.6139","-1.9581","10.0","SWANAGE, UK","      0.5","","       0.5","E","       175","E","        98","E","         3","E","         0","E","        14","E","         0","E","        17","E","         0","E","   -5.0","E,0115, ","  39.6"," ,E,0806, ","   23.3","E,0819,+","-0.6","E,1104","","","","","-0.6","E,0320","-3.9","E,0116","-5.0","E,0115","","","    2712.1","1","    2712.1","E","    909.3"," ,E","     10.78","E","     13.82","E","      7.73","E"
"UKE00105869","1967","50.6139","-1.9581","10.0","SWANAGE, UK","      1.4","","       1.4","E","       150","E","        88","E","         1","E","         0","E","        19","E","         0","E","        14","E","         0","E","   -3.9","E,1209, ","  26.7"," ,E,1101, ","   23.3","E,0822, ","-0.1","E,1127","-3.9","E,1209","","","-1.7","E,0401","-2.2","E,0110","","","","","    2771.2","2","    2771.2","E","    892.9"," ,E","     10.63","E","     13.58","E","      7.68","E"
"UKE00105869","1968","50.6139","-1.9581","10.0","SWANAGE, UK","","","","","       152","E","        92","E","         2","E","","","","","","","","","","","","","  39.4"," ,E,0709, ","","","","","","","","","","","","","","","","","","","","","    867.4"," ,E","","","","","",""
"UKE00105869","1969","50.6139","-1.9581","10.0","SWANAGE, UK","","","","","       137","E","        74","E","         2","E","         0","E","        38","E","         0","E","        33","E","         0","E","   -4.4","E,0217,+","  31.0"," ,E,1114, ","   26.7","E,0710, ","-1.7","E,1116","-2.8","E,1129","","","-1.7","E,0328","-2.8","E,0309","-4.4","E,0217","","","","","","","    773.2"," ,E","     10.47","E","     13.77","E","      7.17","E"
"UKE00105869","1970","50.6139","-1.9581","10.0","SWANAGE, UK","      7.3","","       7.3","E","       171","E","        92","E","         2","E","         0","E","        41","E","         0","E","        24","E","         0","E","   -3.9","E,0305,+","  28.2"," ,E,1106, ","   26.7","E,0609,+","-0.6","E,1116","-2.2","E,1227","","","-1.1","E,0409","-2.2","E,0402","","","","","","","","","    798.5"," ,E","     10.58","E","     13.81","E","      7.36","E"
"UKE00105869","1971","50.6139","-1.9581","10.0","SWANAGE, UK","      9.7","","       9.7","E","       107","E","        68","E","         2","E","         0","E","        17","E","         0","E","        21","E","         0","E","   -5.9","E,0104, ","  57.5"," ,E,0610, ","   26.3","E,0708, ","-2.2","E,1120","-2.2","E,1120","","","-0.8","E,0323","-3.4","E,0307","-5.6","E,0105","","","    2754.0","0","    2754.0","E","    631.3"," ,E","     10.94","E","     14.18","E","      7.70","E"
"UKE00105869","1972","50.6139","-1.9581","10.0","SWANAGE, UK","","","","","       159","E","        89","E","         0","E","","","","","","","","","","","","","  20.9"," ,E,1206, ","","","","","","","","","","","","","","","","","","","","","    770.5"," ,E","","","","","",""
"UKE00105869","1973","50.6139","-1.9581","10.0","SWANAGE, UK","     14.3","","      14.3","E","       116","E","        56","E","         2","E","         0","E","        22","E","         0","E","        31","E","         0","E","   -2.6","E,0215, ","  31.8"," ,E,1015, ","   25.8","E,0622, ","-0.7","E,1117","","","","","-1.0","E,0410","-2.2","E,0217","","","","","","","","","    505.5"," ,E","     10.68","E","     14.10","E","      7.25","E"
"UKE00105869","1974","50.6139","-1.9581","10.0","SWANAGE, UK","      0.0","","       0.0","E","       167","E","       101","E","         3","E","         0","E","         3","E","         0","E","         5","E","         0","E","   -0.6","E,0305, ","  51.4"," ,E,0904, ","   24.0","E,0719, ","","","","","","","-0.6","E,0305","","","","","","","    2651.9","9","    2651.9","E","    987.0"," ,E","     10.55","E","     13.45","E","      7.64","E"
"UKE00105869","1975","50.6139","-1.9581","10.0","SWANAGE, UK","     22.6","","      22.6","E","       133","E","        72","E","         3","E","         0","E","        16","E","         0","E","        33","E","         0","E","   -2.6","E,1215, ","  31.7"," ,E,0913, ","   28.6","E,0806, ","-0.2","E,1130","-2.6","E,1215","","","-1.2","E,0410","","","","","","","    2823.2","2","    2823.2","E","    675.6"," ,E","     10.84","E","     13.85","E","      7.82","E"
"UKE00105869","1976","50.6139","-1.9581","10.0","SWANAGE, UK","     72.2","","      72.2","E","       123","E","        69","E","         4","E","         0","E","        24","E","         0","E","        53","E","         1","E","   -4.6","E,1229, ","  28.8"," ,E,0917, ","   32.4","E,0625, ","-0.1","E,1114","-2.3","E,1204","-4.6","E,1229","-2.7","E,0324","-2.7","E,0324","","","","","    2544.8","8","    2544.8","E","    687.2"," ,E","     11.01","E","     14.08","E","      7.93","E"
