"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105927","1972","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","","","","","         0","E","        42","E","         1","E","        29","E","         0","E","  -11.2","E,0131, ","   26.0","E,0716, ","-1.1","E,1114","-3.2","E,1115","-7.2","E,1231","-7.2","E,1231","","","-0.7","E,0426","-3.5","E,0302","-5.6","E,0201","-11.2","E,0131","-11.2","E,0131","    3105.2","2","    3105.2","E","      9.07","E","     12.97","E","      5.17","E"
"UKE00105927","1973","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","     20.6","","      20.6","E","         0","E","        67","E","         0","E","        59","E","         0","E","   -6.6","E,1202, ","   29.1","E,0815, ","-0.4","E,1012","-4.6","E,1117","-4.6","E,1117","","","","","-0.7","E,0502","-2.5","E,0327","-4.8","E,0217","","","","","","","","","      9.46","E","     13.79","E","      5.14","E"
"UKE00105927","1974","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","","","","","         0","E","        30","E","         0","E","        21","E","         0","E","   -4.1","E,0101, ","   24.5","E,0615, ","-0.5","E,1213","","","","","","","","","-0.5","E,0508","-2.6","E,0306","","","","","","","    3077.3","3","    3077.3","E","      9.43","E","     13.33","E","      5.53","E"
"UKE00105927","1975","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","     38.3","","      38.3","E","         0","E","        57","E","         0","E","        63","E","         2","E","   -8.0","E,1216, ","   33.0","E,0803, ","-0.9","E,1014","-2.9","E,1121","-5.8","E,1214","-8.0","E,1216","","","0.0","E,0531","-3.0","E,0406","","","","","","","","","","","      9.67","E","     13.93","E","      5.40","E"
"UKE00105927","1976","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","     89.0","","      89.0","E","         0","E","        65","E","         3","E","        82","E","         6","E","   -8.7","E,1229, ","   34.2","E,0625, ","-2.0","E,1103","-3.0","E,1203","-5.5","E,1204","-8.7","E,1229","","","-3.5","E,0429","-3.5","E,0429","-4.5","E,0324","-6.7","E,0128","","","    3033.8","8","    3033.8","E","      9.88","E","     14.36","E","      5.39","E"
"UKE00105927","1977","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","      4.8","","       4.8","E","         0","E","        48","E","         1","E","        26","E","         0","E","   -6.6","E,0113, ","   26.6","E,0705, ","-0.6","E,1117","-2.2","E,1119","","","","","","","-0.3","E,0514","-3.7","E,0410","-4.9","E,0330","","","","","    3261.7","7","    3261.7","E","      9.27","E","     12.99","E","      5.54","E"
"UKE00105927","1978","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","      2.3","","       2.3","E","         0","E","        67","E","         4","E","        35","E","         0","E","   -8.9","E,0212, ","   26.5","E,0530, ","-0.2","E,1125","-5.1","E,1127","-5.1","E,1127","-7.0","E,1201","","","-1.3","E,0428","-2.8","E,0413","-6.6","E,0218","-7.1","E,0215","-8.9","E,0212","    3265.1","1","    3265.1","E","      9.18","E","     13.18","E","      5.17","E"
"UKE00105927","1979","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","","","","","         0","E","        88","E","","","","","","","  -11.0","E,0106, ","","","-1.2","E,1110","-4.4","E,1113","-4.4","E,1113","","","","","-0.7","E,0507","-2.5","E,0406","-4.5","E,0226","-7.6","E,0127","-10.4","E,0107","    3343.9","9","    3343.9","E","","","","","      4.58","E"
"UKE00105927","1980","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","      4.7","","       4.7","E","         0","E","        65","E","         0","E","        34","E","         0","E","   -6.5","E,0103, ","   27.3","E,0603, ","-1.4","E,1010","-3.1","E,1103","-4.9","E,1201","","","","","-1.1","E,0510","-2.8","E,0509","-6.3","E,0322","","","","","","","","","      9.15","E","     13.19","E","      5.11","E"
"UKE00105927","1981","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","      5.6","","       5.6","E","         0","E","        73","E","         5","E","        42","E","         0","E","  -11.9","E,1213, ","   27.4","E,0826, ","-0.1","E,1014","-5.4","E,1209","-5.4","E,1209","-11.9","E,1213","-11.9","E,1213","-0.9","E,0505","-2.6","E,0226","-6.5","E,0221","-8.1","E,0215","","","    3158.2","2","    3158.2","E","      9.05","E","     13.05","E","      5.05","E"
"UKE00105927","1982","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","     26.1","","      26.1","E","         0","E","        58","E","         4","E","        59","E","         0","E","  -12.4","E,0114, ","   27.4","E,0604, ","-0.3","E,1126","-4.0","E,1130","","","","","","","-2.5","E,0505","-2.5","E,0505","-4.5","E,0308","-10.1","E,0115","-10.1","E,0115","    3184.5","5","    3184.5","E","      9.82","E","     14.09","E","      5.55","E"
